model,dataset,method,accuracy,avg_frames
timesformer,autsl,fixed_cheap(cov100_s4),0.6627433227704844,4.0
timesformer,autsl,fixed_dense(cov100_s1),0.6677229515617926,16.0
timesformer,driveact,fixed_cheap(cov100_s4),0.6696428571428571,4.0
timesformer,driveact,fixed_dense(cov100_s1),0.6763392857142857,16.0
timesformer,epic_kitchens,fixed_cheap(cov100_s4),0.31862745098039214,4.0
timesformer,epic_kitchens,fixed_dense(cov100_s1),0.32254901960784316,16.0
vivit,ucf101,fixed_cheap(cov100_s4),0.9376237623762376,4.0
vivit,ucf101,fixed_dense(cov100_s1),0.9425742574257425,16.0
vivit,ssv2,fixed_cheap(cov100_s4),0.2680916030534351,4.0
vivit,ssv2,fixed_dense(cov100_s1),0.383206106870229,16.0
vivit,hmdb51,fixed_cheap(cov100_s4),0.7649717514124293,4.0
vivit,hmdb51,fixed_dense(cov100_s1),0.8022598870056498,16.0
vivit,diving48,fixed_cheap(cov100_s4),0.477792732166891,4.0
vivit,diving48,fixed_dense(cov100_s1),0.5302826379542396,16.0
vivit,autsl,fixed_cheap(cov100_s4),0.5737890448166592,4.0
vivit,autsl,fixed_dense(cov100_s1),0.7462652784065188,16.0
vivit,driveact,fixed_cheap(cov100_s4),0.5714285714285714,4.0
vivit,driveact,fixed_dense(cov100_s1),0.6741071428571429,16.0
vivit,epic_kitchens,fixed_cheap(cov100_s4),0.30196078431372547,4.0
vivit,epic_kitchens,fixed_dense(cov100_s1),0.32941176470588235,16.0
videomae,ucf101,fixed_cheap(cov100_s4),0.9584158415841584,4.0
videomae,ucf101,fixed_dense(cov100_s1),0.9544554455445544,16.0
videomae,ssv2,fixed_cheap(cov100_s4),0.4906870229007634,4.0
videomae,ssv2,fixed_dense(cov100_s1),0.5239694656488549,16.0
videomae,hmdb51,fixed_cheap(cov100_s4),0.8338983050847457,4.0
videomae,hmdb51,fixed_dense(cov100_s1),0.8395480225988701,16.0
videomae,diving48,fixed_cheap(cov100_s4),0.5087483176312247,4.0
videomae,diving48,fixed_dense(cov100_s1),0.4858681022880215,16.0
videomae,autsl,fixed_cheap(cov100_s4),0.7505658669081032,4.0
videomae,autsl,fixed_dense(cov100_s1),0.7958352195563604,16.0
videomae,driveact,fixed_cheap(cov100_s4),0.609375,4.0
videomae,driveact,fixed_dense(cov100_s1),0.7388392857142857,16.0
videomae,epic_kitchens,fixed_cheap(cov100_s4),0.36764705882352944,4.0
videomae,epic_kitchens,fixed_dense(cov100_s1),0.37745098039215685,16.0
videomamba,ucf101,fixed_cheap(cov100_s4),0.8792079207920792,4.0
videomamba,ucf101,fixed_dense(cov100_s1),0.8836633663366337,16.0
videomamba,ssv2,fixed_cheap(cov100_s4),0.4403053435114504,4.0
videomamba,ssv2,fixed_dense(cov100_s1),0.4387786259541985,16.0
videomamba,hmdb51,fixed_cheap(cov100_s4),0.6949152542372882,4.0
videomamba,hmdb51,fixed_dense(cov100_s1),0.6983050847457627,16.0
videomamba,diving48,fixed_cheap(cov100_s4),0.3620457604306864,4.0
videomamba,diving48,fixed_dense(cov100_s1),0.36473755047106327,16.0
videomamba,driveact,fixed_cheap(cov100_s4),0.5647321428571429,4.0
videomamba,driveact,fixed_dense(cov100_s1),0.5758928571428571,16.0
videomamba,epic_kitchens,fixed_cheap(cov100_s4),0.2833333333333333,4.0
videomamba,epic_kitchens,fixed_dense(cov100_s1),0.2833333333333333,16.0
