class,acc_25pct,acc_100pct,aliasing_drop
HorseRace,0.8152544,0.9525425999999999,0.13728819999999986
FieldHockeyPenalty,0.6428572,0.78,0.1371428
Archery,0.7161906,0.849524,0.13333339999999994
BreastStroke,0.8137931999999999,0.9471263999999999,0.13333320000000004
JumpRope,0.5275643999999999,0.6602564,0.13269200000000003
TennisSwing,0.7244898,0.8571428000000001,0.13265300000000013
CliffDiving,0.7521739999999999,0.869565,0.11739100000000013
VolleyballSpiking,0.823077,0.9346156000000001,0.11153860000000015
StillRings,0.7253012,0.8289156,0.1036144
IceDancing,0.8321951999999999,0.934634,0.10243880000000005
PlayingDhol,0.8703074000000001,0.9651873999999999,0.09487999999999985
HammerThrow,0.5452054000000001,0.6369864,0.09178099999999989
Skiing,0.5413171999999999,0.6323356,0.09101840000000005
Knitting,0.9130431999999999,0.9985508,0.08550760000000002
Fencing,0.911111,0.9944444000000001,0.08333340000000011
ApplyLipstick,0.8814162,0.9610620000000001,0.0796458000000001
FrontCrawl,0.2519686,0.32126,0.0692914
CricketShot,0.3943662,0.4619718,0.06760559999999999
ShavingBeard,0.8307692,0.8953846000000001,0.0646154000000001
Punch,0.8935674,0.9567247999999999,0.06315739999999992
PlayingViolin,0.931915,0.9893618,0.05744679999999991
HorseRiding,0.945695,0.9960262,0.05033120000000002
Rafting,0.5437498,0.5916667999999999,0.04791699999999999
PlayingSitar,0.8015386,0.8369232,0.03538459999999999
GolfSwing,0.9327273999999999,0.9672724,0.03454500000000016
BlowingCandles,0.9714286,1.0,0.028571400000000025
Drumming,0.9561182,0.9814346,0.025316400000000017
BaseballPitch,0.7586206000000001,0.7827586,0.024137999999999882
PushUps,0.9619044000000001,0.985714,0.023809599999999875
PlayingFlute,0.97,0.9936366,0.023636600000000008
TableTennisShot,0.932,0.95,0.017999999999999905
PlayingDaf,0.9686636,0.9824885999999999,0.013824999999999976
Bowling,0.9659089999999999,0.977273,0.01136400000000004
BenchPress,0.9910112,1.0,0.008988800000000019
SoccerPenalty,0.9859648,0.9929824,0.007017600000000068
Haircut,0.6612899999999999,0.6677416,0.006451600000000113
LongJump,0.538889,0.5444443999999999,0.005555399999999988
WritingOnBoard,0.9961904,1.0,0.0038095999999999686
WallPushups,0.7824562,0.7859648,0.003508599999999973
MilitaryParade,0.9967741999999999,1.0,0.0032258000000000564
Typing,0.994631,0.9973156,0.002684599999999926
PlayingTabla,0.9662336,0.967532,0.0012983999999999218
BasketballDunk,0.9757576,0.9757576,0.0
PlayingGuitar,1.0,1.0,0.0
CuttingInKitchen,0.9901959999999999,0.9862743999999999,-0.0039215999999999696
Diving,0.9971224,0.9928060000000001,-0.004316399999999887
Billiards,1.0,0.9922411999999999,-0.007758800000000066
BandMarching,0.4062994,0.3968506,-0.00944879999999998
RockClimbingIndoor,0.972537,0.9492537999999999,-0.02328320000000006
ApplyEyeMakeup,0.9765622,0.9515624,-0.024999800000000016
PlayingCello,0.946405,0.9124186,-0.03398640000000008
Hammering,0.672727,0.632727,-0.039999999999999925
PlayingPiano,0.9982141999999999,0.9517858,-0.046428399999999925
Surfing,0.9771927999999999,0.9052631999999999,-0.07192959999999993
CricketBowling,0.5402984,0.3910446,-0.14925379999999994
HandstandPushups,0.7925924,0.625926,-0.1666664
Shotput,0.6338984,0.2711866,-0.3627118
