label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
60,5,1.5438066968955837,0.35618260129686813,4.6,0.12884168785699202
61,5,1.6833122408242382,0.29800427069536123,6.4,0.2617159914168201
62,5,1.9782396053549534,0.17501000656866655,5.0,0.12252554521830204
63,5,1.795957377505997,0.2510275999626562,5.4,0.20614525513836757
64,3,1.6821236844450975,0.2984999372044967,6.333333333333333,0.3525014259429196
65,4,1.778463845399176,0.2583229694916206,7.0,0.21731034343086947
66,5,2.1692765435684684,0.09534141537511834,4.2,0.0695112692261684
67,5,1.8382476939388603,0.2333911681665711,4.6,0.29378541548238674
68,5,2.188945581793008,0.08713878932732352,6.6,0.05878828907199005
69,5,1.6522286407471942,0.31096713876956567,4.0,0.3233781444326361
70,5,2.2952609124695096,0.04280185273024262,5.4,0.09479464543660408
71,5,1.091789222706091,0.5446885295236598,3.2,0.20706804751152585
72,3,1.6255753712709933,0.3220824154785005,4.666666666666667,0.404485587132904
73,3,1.4632841207455591,0.38976312379235384,3.3333333333333335,0.34776192392055677
74,5,1.7139854155537138,0.28521256328535427,9.0,0.26371328983227943
75,5,1.7538401642668582,0.2685918421198993,6.0,0.28678569731376463
76,5,1.4206370221112172,0.4075483453231392,4.0,0.2972061186829691
77,5,1.5102049404655111,0.37019562213695634,4.2,0.2233765811674582
78,5,1.681311741414346,0.2988385437483112,0.4,0.09369104880255467
79,5,1.3999352806247043,0.41618164208190633,2.8,0.21562275684689397
80,5,1.6334626849779226,0.3187931501813866,3.8,0.19433409617922795
81,5,1.4456371470603395,0.39712248342970174,2.4,0.18501434479848994
82,5,1.5579904694835636,0.35026750869508516,6.8,0.20537234921382078
83,4,1.6724860257698408,0.30251915304956956,8.0,0.0886787042239055
84,5,1.7115188214685961,0.2862412129153438,1.6,0.16074451342047943
85,5,1.618691718293625,0.3249531217413872,6.0,0.18718030176539557
86,5,1.5010769629743703,0.37400228441895356,6.4,0.45391363860638767
87,5,1.4320489728358794,0.40278919222161774,7.4,0.13106439287780322
88,4,1.5287414056198452,0.3624653157450922,5.75,0.19806770383239072
89,5,1.3059262547177546,0.4553864509713453,6.8,0.1966689718929482
90,5,1.567617962633497,0.34625253220334795,4.2,0.11907771275963581
91,5,1.7770076666775747,0.25893024318623103,3.2,0.11890105493486047
92,5,1.6285122185210472,0.32085765504656294,4.6,0.2589261530082264
93,1,0.9739500442283447,0.5938312839277029,1.0,0.0
94,5,1.2102057856714237,0.4953049870859873,6.8,0.2170925053467055
95,5,2.3965408649522097,0.000564831943048305,5.0,0.0022021641984190975
96,5,1.3182117896055063,0.4502629849771803,4.8,0.34244845142043445
97,4,1.7269696862810848,0.2797977018130188,6.0,0.2316930611148949
98,5,1.4794616680801673,0.38301656254002336,5.4,0.24239550374551258
