model,dataset,coverage,stride_a,stride_b,std_s1,std_s16,var_ratio_16_over_1,levene_stat,levene_p,significant,interpretation
slowfast_r50,epic_kitchens,100,1,16,0.26718572284019615,0.1998322603807704,0.7479151861432914,11.643748104639142,0.0007992561090845623,True,variance stable
timesformer,ucf101,100,1,16,0.1351511804763777,0.1421824236119163,1.0520250142006162,0.0,1.0,False,marginal change
timesformer,ssv2,100,1,16,0.21442731469616966,0.1933571449246342,0.9017374689268107,1.4009919664175274,0.23737010959270696,False,marginal change
timesformer,hmdb51,100,1,16,0.18319640743013418,0.20838188082972883,1.1374779812301814,0.7103494032940026,0.40133921882380397,False,marginal change
timesformer,diving48,100,1,16,0.2608083718523995,0.2630970198101299,1.0087752050775822,0.008208982021617099,0.9280046756342054,False,marginal change
timesformer,autsl,100,1,16,0.21247024308431683,0.23331629767926054,1.0981128142662233,3.8066867515332157,0.05166852351912797,False,marginal change
timesformer,driveact,100,1,16,0.3338261905718063,0.34327329702499354,1.028299473473624,0.21629112035977804,0.6434590924975083,False,marginal change
timesformer,epic_kitchens,100,1,16,0.2536129287365624,0.23906238784382994,0.9426269713147248,0.4262766883566108,0.5146735323573548,False,marginal change
vivit,ucf101,100,1,16,0.10986039746283947,0.14731255920324612,1.340906835078292,6.889426927838058,0.009340373671141683,True,variance INCREASES with stride
vivit,ssv2,100,1,16,0.19892399594101481,0.11146579582672154,0.5603436364682212,58.10782331574387,2.4111270524989367e-13,True,variance stable
vivit,hmdb51,100,1,16,0.15789999006534317,0.2765111281381513,1.7511788713384016,13.354989882895453,0.0004127535698633549,True,variance INCREASES with stride
vivit,diving48,100,1,16,0.26626564124093866,0.1659537924341118,0.6232640119747158,10.016262074612639,0.002103986543117053,True,variance stable
vivit,autsl,100,1,16,0.19796824931963372,0.174028160166427,0.879071062584259,12.993411459755606,0.0003475158566720822,True,marginal change
vivit,driveact,100,1,16,0.3398785538480282,0.3827150428694062,1.1260346891863529,0.4384658005603254,0.5102413087485453,False,marginal change
vivit,epic_kitchens,100,1,16,0.2575583362102682,0.2101485136645991,0.8159258828147964,5.690973674837453,0.01811437086659583,True,marginal change
videomae,ucf101,100,1,16,0.09383469771384946,0.1208468468601461,1.2878695036755077,5.181237575603775,0.02389115584130894,True,variance INCREASES with stride
videomae,ssv2,100,1,16,0.2331085519297189,0.1611443663880793,0.6912846584254827,26.182970511805202,5.159190085086017e-07,True,variance stable
videomae,hmdb51,100,1,16,0.12529770229600065,0.25317504739868546,2.020588093307585,19.476267870801315,2.5763251790217267e-05,True,variance INCREASES with stride
videomae,diving48,100,1,16,0.2706729424129387,0.20134988403495666,0.74388626175974,7.478622945434543,0.0074902550539876255,True,variance stable
videomae,autsl,100,1,16,0.17231277971310205,0.22854321529349791,1.3263277067881496,4.606331411216432,0.03238820178505253,True,variance INCREASES with stride
videomae,driveact,100,1,16,0.309659628898982,0.3561240880789734,1.1500500991851896,0.008493595086163371,0.9268582351889374,False,marginal change
videomae,epic_kitchens,100,1,16,0.26693139602916566,0.22369749184599486,0.8380336458567781,3.8011451421839153,0.05280657050614492,False,marginal change
videomamba,ucf101,100,1,16,0.14179367244187752,0.1469053713068786,1.0360502534486944,0.14652078167536448,0.7022891439120614,False,marginal change
videomamba,ssv2,100,1,16,0.2154327496767651,0.19355646708295804,0.8984542344416788,1.2928390096192086,0.2563122409744534,False,marginal change
videomamba,hmdb51,100,1,16,0.2252566850535434,0.24429954273035923,1.0845384747971003,0.7857839974444079,0.37750483694446,False,marginal change
videomamba,diving48,100,1,16,0.21924709828686717,0.21752746276960888,0.9921566281932502,0.026083145971005865,0.8720515722480168,False,marginal change
videomamba,autsl,100,1,16,0.06651901052377393,0.06651901052377393,0.9999999849667038,0.0,1.0,False,marginal change
videomamba,driveact,100,1,16,0.3448603566354931,0.34706812311119145,1.0064019114601508,0.004933998373668886,0.9442197337034486,False,marginal change
videomamba,epic_kitchens,100,1,16,0.24764313577100883,0.23803377407471576,0.9611967332445047,0.07534580122250426,0.784028555635063,False,marginal change
