dataset,model,stride,fps,top1,median_interval_s,median_k,median_duration_s
ssv2,vivit,4,12.0,26.79440389294404,0.3235294117647059,13.0,4.083333333333333
ssv2,vivit,8,12.0,14.983318168031543,0.6203703703703703,7.0,4.083333333333333
ssv2,vivit,16,12.0,7.6830732292917165,1.1666666666666665,4.0,4.083333333333333
ssv2,videomae,1,12.0,52.396946564885496,0.2552083333333333,16.0,4.083333333333333
ssv2,videomae,2,12.0,52.22696766320928,0.2552083333333333,16.0,4.083333333333333
ssv2,videomae,4,12.0,49.05717761557178,0.325,13.0,4.083333333333333
ssv2,videomae,8,12.0,34.69821049438884,0.6203703703703703,7.0,4.083333333333333
ssv2,videomae,16,12.0,18.007202881152462,1.1666666666666665,4.0,4.083333333333333
hmdb51,r3d_18,1,30.0,80.33898305084746,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r3d_18,2,30.0,79.2090395480226,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r3d_18,4,30.0,78.30508474576271,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r3d_18,8,30.0,70.28248587570621,0.26,10.0,2.6666666666666665
hmdb51,r3d_18,16,30.0,59.2090395480226,0.5044444444444445,5.0,2.6666666666666665
hmdb51,mc3_18,1,30.0,78.64406779661017,0.16666666666666666,16.0,2.6666666666666665
hmdb51,mc3_18,2,30.0,78.19209039548024,0.16666666666666666,16.0,2.6666666666666665
hmdb51,mc3_18,4,30.0,77.74011299435028,0.16666666666666666,16.0,2.6666666666666665
hmdb51,mc3_18,8,30.0,73.67231638418079,0.26,10.0,2.6666666666666665
hmdb51,mc3_18,16,30.0,68.92655367231639,0.5044444444444445,5.0,2.6666666666666665
hmdb51,r2plus1d_18,1,30.0,73.10734463276836,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r2plus1d_18,2,30.0,75.48022598870057,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r2plus1d_18,4,30.0,72.20338983050848,0.16666666666666666,16.0,2.6666666666666665
hmdb51,r2plus1d_18,8,30.0,65.76271186440678,0.26,10.0,2.6666666666666665
hmdb51,r2plus1d_18,16,30.0,55.48022598870056,0.5044444444444445,5.0,2.6666666666666665
hmdb51,slowfast_r50,1,30.0,79.3220338983051,0.08333333333333333,32.0,2.6666666666666665
hmdb51,slowfast_r50,2,30.0,76.8361581920904,0.08333333333333333,32.0,2.6666666666666665
hmdb51,slowfast_r50,4,30.0,67.45762711864407,0.13166666666666665,20.0,2.6666666666666665
hmdb51,slowfast_r50,8,30.0,54.12429378531074,0.2596491228070176,10.0,2.6666666666666665
hmdb51,slowfast_r50,16,30.0,41.920903954802256,0.5044444444444445,5.0,2.6666666666666665
hmdb51,timesformer,1,30.0,79.88700564971751,0.3333333333333333,8.0,2.6666666666666665
hmdb51,timesformer,2,30.0,78.87005649717514,0.3333333333333333,8.0,2.6666666666666665
hmdb51,timesformer,4,30.0,79.77401129943503,0.3333333333333333,8.0,2.6666666666666665
hmdb51,timesformer,8,30.0,79.88700564971751,0.3333333333333333,8.0,2.6666666666666665
hmdb51,timesformer,16,30.0,75.9322033898305,0.5111111111111112,5.0,2.6666666666666665
hmdb51,vivit,1,30.0,80.22598870056498,0.08333333333333333,32.0,2.6666666666666665
hmdb51,vivit,2,30.0,80.0,0.08333333333333333,32.0,2.6666666666666665
hmdb51,vivit,4,30.0,76.49717514124293,0.13166666666666665,20.0,2.6666666666666665
hmdb51,vivit,8,30.0,69.15254237288136,0.2596491228070176,10.0,2.6666666666666665
hmdb51,vivit,16,30.0,60.790960451977405,0.5044444444444445,5.0,2.6666666666666665
hmdb51,videomae,1,30.0,83.954802259887,0.16666666666666666,16.0,2.6666666666666665
hmdb51,videomae,2,30.0,83.05084745762711,0.16666666666666666,16.0,2.6666666666666665
hmdb51,videomae,4,30.0,83.38983050847457,0.16666666666666666,16.0,2.6666666666666665
hmdb51,videomae,8,30.0,78.30508474576271,0.26,10.0,2.6666666666666665
hmdb51,videomae,16,30.0,63.72881355932203,0.5044444444444445,5.0,2.6666666666666665
diving48,r3d_18,1,25.0,28.802153432032302,0.265,16.0,4.24
diving48,r3d_18,2,25.0,27.725437415881558,0.265,16.0,4.24
diving48,r3d_18,4,25.0,24.62987886944818,0.265,16.0,4.24
diving48,r3d_18,8,25.0,22.88021534320323,0.31384615384615383,14.0,4.24
diving48,r3d_18,16,25.0,12.78600269179004,0.6,7.0,4.24
diving48,mc3_18,1,25.0,31.62853297442799,0.265,16.0,4.24
diving48,mc3_18,2,25.0,33.51278600269179,0.265,16.0,4.24
diving48,mc3_18,4,25.0,31.493943472409153,0.265,16.0,4.24
diving48,mc3_18,8,25.0,30.282637954239572,0.31384615384615383,14.0,4.24
diving48,mc3_18,16,25.0,19.24629878869448,0.6,7.0,4.24
diving48,r2plus1d_18,1,25.0,35.26244952893675,0.265,16.0,4.24
diving48,r2plus1d_18,2,25.0,36.33916554508748,0.265,16.0,4.24
diving48,r2plus1d_18,4,25.0,35.80080753701211,0.265,16.0,4.24
diving48,r2plus1d_18,8,25.0,29.475100942126513,0.31384615384615383,14.0,4.24
diving48,r2plus1d_18,16,25.0,16.41991924629879,0.6,7.0,4.24
diving48,slowfast_r50,1,25.0,50.47106325706595,0.1325,32.0,4.24
diving48,slowfast_r50,2,25.0,49.93270524899058,0.1325,32.0,4.24
diving48,slowfast_r50,4,25.0,41.722745625841185,0.1586206896551724,27.0,4.24
diving48,slowfast_r50,8,25.0,22.88021534320323,0.31,14.0,4.24
diving48,slowfast_r50,16,25.0,10.767160161507402,0.6,7.0,4.24
diving48,timesformer,1,25.0,38.22341857335128,0.53,8.0,4.24
diving48,timesformer,2,25.0,38.22341857335128,0.53,8.0,4.24
diving48,timesformer,4,25.0,38.627187079407804,0.53,8.0,4.24
diving48,timesformer,8,25.0,36.87752355316285,0.53,8.0,4.24
diving48,timesformer,16,25.0,36.20457604306864,0.6133333333333334,7.0,4.24
diving48,vivit,1,25.0,53.02826379542396,0.1325,32.0,4.24
diving48,vivit,2,25.0,50.74024226110363,0.1325,32.0,4.24
diving48,vivit,4,25.0,47.7792732166891,0.1586206896551724,27.0,4.24
diving48,vivit,8,25.0,32.83983849259758,0.31,14.0,4.24
diving48,vivit,16,25.0,16.689098250336475,0.6,7.0,4.24
diving48,videomae,1,25.0,48.58681022880215,0.265,16.0,4.24
diving48,videomae,2,25.0,50.6056527590848,0.265,16.0,4.24
diving48,videomae,4,25.0,50.87483176312247,0.265,16.0,4.24
diving48,videomae,8,25.0,42.664872139973085,0.31384615384615383,14.0,4.24
diving48,videomae,16,25.0,25.168236877523555,0.6,7.0,4.24
autsl,r3d_18,1,30.0,74.98868266183794,0.125,16.0,2.0
autsl,r3d_18,2,30.0,75.26029877772747,0.125,16.0,2.0
autsl,r3d_18,4,30.0,68.03983703033046,0.13125,15.0,2.0
autsl,r3d_18,8,30.0,27.161611588954276,0.2518518518518518,8.0,2.0
autsl,r3d_18,16,30.0,6.518786781349027,0.475,4.0,2.0
autsl,mc3_18,1,30.0,63.73924852874604,0.125,16.0,2.0
autsl,mc3_18,2,30.0,63.17338162064282,0.125,16.0,2.0
autsl,mc3_18,4,30.0,61.79266636487098,0.13125,15.0,2.0
autsl,mc3_18,8,30.0,36.32865550022635,0.2518518518518518,8.0,2.0
autsl,mc3_18,16,30.0,8.19375282933454,0.475,4.0,2.0
autsl,r2plus1d_18,1,30.0,75.93933906745134,0.125,16.0,2.0
autsl,r2plus1d_18,2,30.0,75.64508827523765,0.125,16.0,2.0
autsl,r2plus1d_18,4,30.0,69.4205522861023,0.13125,15.0,2.0
autsl,r2plus1d_18,8,30.0,30.805794477138974,0.2518518518518518,8.0,2.0
autsl,r2plus1d_18,16,30.0,8.714350384789498,0.475,4.0,2.0
autsl,slowfast_r50,1,30.0,82.2544137618832,0.0625,32.0,2.0
autsl,slowfast_r50,2,30.0,77.41059302851968,0.06666666666666667,30.0,2.0
autsl,slowfast_r50,4,30.0,41.46672702580353,0.13015873015873017,15.0,2.0
autsl,slowfast_r50,8,30.0,14.010864644635582,0.2518518518518518,8.0,2.0
autsl,slowfast_r50,16,30.0,4.685377999094613,0.475,4.0,2.0
autsl,timesformer,1,30.0,66.77229515617927,0.25,8.0,2.0
autsl,timesformer,2,30.0,66.90810321412404,0.25,8.0,2.0
autsl,timesformer,4,30.0,66.27433227704844,0.25,8.0,2.0
autsl,timesformer,8,30.0,65.70846536894523,0.25833333333333336,8.0,2.0
autsl,timesformer,16,30.0,50.76957899502037,0.475,4.0,2.0
autsl,vivit,1,30.0,74.62652784065187,0.0625,32.0,2.0
autsl,vivit,2,30.0,73.33635129017655,0.06666666666666667,30.0,2.0
autsl,vivit,4,30.0,57.37890448166591,0.13015873015873017,15.0,2.0
autsl,vivit,8,30.0,28.746038931643277,0.2518518518518518,8.0,2.0
autsl,vivit,16,30.0,12.494341330918967,0.475,4.0,2.0
autsl,videomae,1,30.0,79.58352195563604,0.125,16.0,2.0
autsl,videomae,2,30.0,79.62879130828429,0.125,16.0,2.0
autsl,videomae,4,30.0,75.05658669081032,0.13125,15.0,2.0
autsl,videomae,8,30.0,45.02037120869172,0.2518518518518518,8.0,2.0
autsl,videomae,16,30.0,18.379357175192396,0.475,4.0,2.0
driveact,r3d_18,1,15.0,68.30357142857143,0.18333333333333332,16.0,2.933333333333333
driveact,r3d_18,2,15.0,66.51785714285714,0.18333333333333332,16.0,2.933333333333333
driveact,r3d_18,4,15.0,58.92857142857143,0.2555555555555556,11.0,2.933333333333333
driveact,r3d_18,8,15.0,49.330357142857146,0.5,6.0,2.933333333333333
driveact,r3d_18,16,15.0,44.419642857142854,1.0,3.0,2.933333333333333
driveact,mc3_18,1,15.0,68.97321428571429,0.18333333333333332,16.0,2.933333333333333
driveact,mc3_18,2,15.0,69.19642857142857,0.18333333333333332,16.0,2.933333333333333
driveact,mc3_18,4,15.0,67.1875,0.2555555555555556,11.0,2.933333333333333
driveact,mc3_18,8,15.0,59.82142857142857,0.5,6.0,2.933333333333333
driveact,mc3_18,16,15.0,55.13392857142857,1.0,3.0,2.933333333333333
driveact,r2plus1d_18,1,15.0,62.5,0.18333333333333332,16.0,2.933333333333333
driveact,r2plus1d_18,2,15.0,63.39285714285714,0.18333333333333332,16.0,2.933333333333333
driveact,r2plus1d_18,4,15.0,55.58035714285714,0.2555555555555556,11.0,2.933333333333333
driveact,r2plus1d_18,8,15.0,41.964285714285715,0.5,6.0,2.933333333333333
driveact,r2plus1d_18,16,15.0,37.723214285714285,1.0,3.0,2.933333333333333
driveact,slowfast_r50,1,15.0,72.54464285714286,0.09166666666666666,32.0,2.933333333333333
driveact,slowfast_r50,2,15.0,68.08035714285714,0.13055555555555556,22.0,2.933333333333333
driveact,slowfast_r50,4,15.0,56.91964285714286,0.2555555555555556,11.0,2.933333333333333
driveact,slowfast_r50,8,15.0,45.3125,0.5,6.0,2.933333333333333
driveact,slowfast_r50,16,15.0,38.839285714285715,1.0,3.0,2.933333333333333
driveact,timesformer,1,15.0,67.63392857142857,0.36666666666666664,8.0,2.933333333333333
driveact,timesformer,2,15.0,68.08035714285714,0.36666666666666664,8.0,2.933333333333333
driveact,timesformer,4,15.0,66.96428571428571,0.36666666666666664,8.0,2.933333333333333
driveact,timesformer,8,15.0,66.51785714285714,0.5,6.0,2.933333333333333
driveact,timesformer,16,15.0,59.15178571428571,1.0,3.0,2.933333333333333
driveact,vivit,1,15.0,67.41071428571429,0.09166666666666666,32.0,2.933333333333333
driveact,vivit,2,15.0,62.5,0.13055555555555556,22.0,2.933333333333333
driveact,vivit,4,15.0,57.14285714285714,0.2555555555555556,11.0,2.933333333333333
driveact,vivit,8,15.0,51.78571428571429,0.5,6.0,2.933333333333333
driveact,vivit,16,15.0,47.098214285714285,1.0,3.0,2.933333333333333
driveact,videomae,1,15.0,73.88392857142857,0.18333333333333332,16.0,2.933333333333333
driveact,videomae,2,15.0,72.99107142857143,0.18333333333333332,16.0,2.933333333333333
driveact,videomae,4,15.0,60.9375,0.2555555555555556,11.0,2.933333333333333
driveact,videomae,8,15.0,42.857142857142854,0.5,6.0,2.933333333333333
driveact,videomae,16,15.0,33.035714285714285,1.0,3.0,2.933333333333333
epic_kitchens,r3d_18,1,50.0,37.15686274509804,0.12,16.0,1.92
epic_kitchens,r3d_18,2,50.0,36.470588235294116,0.12,16.0,1.92
epic_kitchens,r3d_18,4,50.0,35.68627450980392,0.12,16.0,1.92
epic_kitchens,r3d_18,8,50.0,30.0,0.15777777777777777,12.0,1.92
epic_kitchens,r3d_18,16,50.0,24.41176470588235,0.30062500000000003,6.0,1.92
epic_kitchens,mc3_18,1,50.0,36.17647058823529,0.12,16.0,1.92
epic_kitchens,mc3_18,2,50.0,37.05882352941177,0.12,16.0,1.92
epic_kitchens,mc3_18,4,50.0,36.470588235294116,0.12,16.0,1.92
epic_kitchens,mc3_18,8,50.0,33.62745098039216,0.15777777777777777,12.0,1.92
epic_kitchens,mc3_18,16,50.0,27.54901960784314,0.30062500000000003,6.0,1.92
epic_kitchens,r2plus1d_18,1,50.0,35.490196078431374,0.12,16.0,1.92
epic_kitchens,r2plus1d_18,2,50.0,34.705882352941174,0.12,16.0,1.92
epic_kitchens,r2plus1d_18,4,50.0,33.92156862745098,0.12,16.0,1.92
epic_kitchens,r2plus1d_18,8,50.0,28.72549019607843,0.15777777777777777,12.0,1.92
epic_kitchens,r2plus1d_18,16,50.0,23.823529411764703,0.30062500000000003,6.0,1.92
epic_kitchens,slowfast_r50,1,50.0,39.411764705882355,0.06,32.0,1.92
epic_kitchens,slowfast_r50,2,50.0,37.84313725490196,0.06,32.0,1.92
epic_kitchens,slowfast_r50,4,50.0,34.80392156862745,0.08,24.0,1.92
epic_kitchens,slowfast_r50,8,50.0,28.431372549019606,0.15555555555555556,12.0,1.92
epic_kitchens,slowfast_r50,16,50.0,20.88235294117647,0.30062500000000003,6.0,1.92
epic_kitchens,timesformer,1,50.0,32.254901960784316,0.24,8.0,1.92
epic_kitchens,timesformer,2,50.0,32.450980392156865,0.24,8.0,1.92
epic_kitchens,timesformer,4,50.0,31.862745098039213,0.24,8.0,1.92
epic_kitchens,timesformer,8,50.0,30.490196078431374,0.24,8.0,1.92
epic_kitchens,timesformer,16,50.0,29.31372549019608,0.31,6.0,1.92
epic_kitchens,vivit,1,50.0,32.94117647058823,0.06,32.0,1.92
epic_kitchens,vivit,2,50.0,31.56862745098039,0.06,32.0,1.92
epic_kitchens,vivit,4,50.0,30.19607843137255,0.08,24.0,1.92
epic_kitchens,vivit,8,50.0,25.882352941176475,0.15555555555555556,12.0,1.92
epic_kitchens,vivit,16,50.0,21.862745098039216,0.30062500000000003,6.0,1.92
epic_kitchens,videomae,1,50.0,37.745098039215684,0.12,16.0,1.92
epic_kitchens,videomae,2,50.0,37.450980392156865,0.12,16.0,1.92
epic_kitchens,videomae,4,50.0,36.76470588235294,0.12,16.0,1.92
epic_kitchens,videomae,8,50.0,31.862745098039213,0.15777777777777777,12.0,1.92
epic_kitchens,videomae,16,50.0,26.96078431372549,0.30062500000000003,6.0,1.92
