dataset,model,budget,stride,n_clips,pct_padded,mean_distinct
hmdb51,r3d_18,16,4,885,28.0,14.86
hmdb51,r3d_18,16,8,885,82.4,10.5
hmdb51,r3d_18,16,16,885,95.3,6.14
hmdb51,mc3_18,16,1,885,0.0,16.0
hmdb51,mc3_18,16,2,885,1.1,15.97
hmdb51,mc3_18,16,4,885,28.0,14.86
hmdb51,mc3_18,16,8,885,82.4,10.5
hmdb51,mc3_18,16,16,885,95.3,6.14
hmdb51,r2plus1d_18,16,1,885,0.0,16.0
hmdb51,r2plus1d_18,16,2,885,1.1,15.97
hmdb51,r2plus1d_18,16,4,885,28.0,14.86
hmdb51,r2plus1d_18,16,8,885,82.4,10.5
hmdb51,r2plus1d_18,16,16,885,95.3,6.14
hmdb51,videomae,16,1,885,0.0,16.0
hmdb51,videomae,16,2,885,1.1,15.97
hmdb51,videomae,16,4,885,28.0,14.86
hmdb51,videomae,16,8,885,82.4,10.5
hmdb51,videomae,16,16,885,95.3,6.14
hmdb51,vivit,32,1,885,1.5,31.92
hmdb51,vivit,32,2,885,29.3,29.56
hmdb51,vivit,32,4,885,83.2,20.65
hmdb51,vivit,32,8,885,95.5,11.88
hmdb51,vivit,32,16,885,99.8,6.39
hmdb51,slowfast_r50,32,1,885,1.5,31.92
hmdb51,slowfast_r50,32,2,885,29.3,29.56
hmdb51,slowfast_r50,32,4,885,83.2,20.65
hmdb51,slowfast_r50,32,8,885,95.5,11.88
hmdb51,slowfast_r50,32,16,885,99.8,6.39
diving48,timesformer,8,1,743,0.0,8.0
diving48,timesformer,8,2,743,0.0,8.0
diving48,timesformer,8,4,743,0.1,8.0
diving48,timesformer,8,8,743,7.4,7.88
diving48,timesformer,8,16,743,56.5,6.57
diving48,r3d_18,16,1,743,0.0,16.0
diving48,r3d_18,16,2,743,0.3,15.99
diving48,r3d_18,16,4,743,10.0,15.71
diving48,r3d_18,16,8,743,63.9,12.83
diving48,r3d_18,16,16,743,98.5,7.42
diving48,mc3_18,16,1,743,0.0,16.0
diving48,mc3_18,16,2,743,0.3,15.99
diving48,mc3_18,16,4,743,10.0,15.71
diving48,mc3_18,16,8,743,63.9,12.83
diving48,mc3_18,16,16,743,98.5,7.42
diving48,r2plus1d_18,16,1,743,0.0,16.0
diving48,r2plus1d_18,16,2,743,0.3,15.99
diving48,r2plus1d_18,16,4,743,10.0,15.71
diving48,r2plus1d_18,16,8,743,63.9,12.83
diving48,r2plus1d_18,16,16,743,98.5,7.42
diving48,videomae,16,1,743,0.0,16.0
diving48,videomae,16,2,743,0.3,15.99
diving48,videomae,16,4,743,10.0,15.71
diving48,videomae,16,8,743,63.9,12.83
diving48,videomae,16,16,743,98.5,7.42
diving48,vivit,32,1,743,0.3,31.99
diving48,vivit,32,2,743,11.2,31.35
diving48,vivit,32,4,743,67.4,25.3
diving48,vivit,32,8,743,98.8,14.37
diving48,vivit,32,16,743,100.0,7.44
diving48,slowfast_r50,32,1,743,0.3,31.99
diving48,slowfast_r50,32,2,743,11.2,31.35
diving48,slowfast_r50,32,4,743,67.4,25.3
diving48,slowfast_r50,32,8,743,98.8,14.37
diving48,slowfast_r50,32,16,743,100.0,7.44
finegym,timesformer,8,1,1600,0.1,8.0
finegym,timesformer,8,2,1600,0.5,7.99
finegym,timesformer,8,4,1600,34.9,7.29
finegym,timesformer,8,8,1600,77.1,5.3
finegym,timesformer,8,16,1600,94.0,3.26
finegym,r3d_18,16,1,1600,1.0,15.98
finegym,r3d_18,16,2,1600,39.1,14.37
finegym,r3d_18,16,4,1600,80.4,10.21
finegym,r3d_18,16,8,1600,94.1,5.99
finegym,r3d_18,16,16,1600,99.2,3.52
finegym,mc3_18,16,1,1600,1.0,15.98
finegym,mc3_18,16,2,1600,39.1,14.37
finegym,mc3_18,16,4,1600,80.4,10.21
finegym,mc3_18,16,8,1600,94.1,5.99
finegym,mc3_18,16,16,1600,99.2,3.52
finegym,r2plus1d_18,16,1,1600,1.0,15.98
finegym,r2plus1d_18,16,2,1600,39.1,14.37
finegym,r2plus1d_18,16,4,1600,80.4,10.21
finegym,r2plus1d_18,16,8,1600,94.1,5.99
finegym,r2plus1d_18,16,16,1600,99.2,3.52
finegym,videomae,16,1,1600,1.0,15.98
finegym,videomae,16,2,1600,39.1,14.37
finegym,videomae,16,4,1600,80.4,10.21
finegym,videomae,16,8,1600,94.1,5.99
finegym,videomae,16,16,1600,99.2,3.52
finegym,vivit,32,1,1600,40.6,28.52
finegym,vivit,32,2,1600,82.0,19.99
finegym,vivit,32,4,1600,94.2,11.53
finegym,vivit,32,8,1600,99.4,6.5
finegym,vivit,32,16,1600,100.0,3.56
finegym,slowfast_r50,32,1,1600,40.6,28.52
finegym,slowfast_r50,32,2,1600,82.0,19.99
finegym,slowfast_r50,32,4,1600,94.2,11.53
finegym,slowfast_r50,32,8,1600,99.4,6.5
finegym,slowfast_r50,32,16,1600,100.0,3.56
autsl,timesformer,8,1,4418,0.0,8.0
autsl,timesformer,8,2,4418,0.0,8.0
autsl,timesformer,8,4,4418,0.1,8.0
autsl,timesformer,8,8,4418,38.0,7.39
autsl,timesformer,8,16,4418,100.0,4.15
autsl,r3d_18,16,1,4418,0.0,16.0
autsl,r3d_18,16,2,4418,0.1,15.99
autsl,r3d_18,16,4,4418,54.1,14.47
autsl,r3d_18,16,8,4418,100.0,7.84
autsl,r3d_18,16,16,4418,100.0,4.15
autsl,mc3_18,16,1,4418,0.0,16.0
autsl,mc3_18,16,2,4418,0.1,15.99
autsl,mc3_18,16,4,4418,54.1,14.47
autsl,mc3_18,16,8,4418,100.0,7.84
autsl,mc3_18,16,16,4418,100.0,4.15
autsl,r2plus1d_18,16,1,4418,0.0,16.0
autsl,r2plus1d_18,16,2,4418,0.1,15.99
autsl,r2plus1d_18,16,4,4418,54.1,14.47
autsl,r2plus1d_18,16,8,4418,100.0,7.84
autsl,r2plus1d_18,16,16,4418,100.0,4.15
autsl,videomae,16,1,4418,0.0,16.0
autsl,videomae,16,2,4418,0.1,15.99
autsl,videomae,16,4,4418,54.1,14.47
autsl,videomae,16,8,4418,100.0,7.84
autsl,videomae,16,16,4418,100.0,4.15
autsl,vivit,32,1,4418,0.1,31.99
autsl,vivit,32,2,4418,62.3,28.61
autsl,vivit,32,4,4418,100.0,15.17
autsl,vivit,32,8,4418,100.0,7.84
autsl,vivit,32,16,4418,100.0,4.15
autsl,slowfast_r50,32,1,4418,0.1,31.99
autsl,slowfast_r50,32,2,4418,62.3,28.61
autsl,slowfast_r50,32,4,4418,100.0,15.17
autsl,slowfast_r50,32,8,4418,100.0,7.84
autsl,slowfast_r50,32,16,4418,100.0,4.15
driveact,timesformer,8,1,448,0.7,7.99
driveact,timesformer,8,2,448,10.3,7.77
driveact,timesformer,8,4,448,23.2,7.21
driveact,timesformer,8,8,448,100.0,5.06
driveact,timesformer,8,16,448,100.0,2.61
driveact,r3d_18,16,1,448,10.7,15.49
driveact,r3d_18,16,2,448,25.2,14.27
driveact,r3d_18,16,4,448,100.0,9.76
driveact,r3d_18,16,8,448,100.0,5.06
driveact,r3d_18,16,16,448,100.0,2.61
driveact,mc3_18,16,1,448,10.7,15.49
driveact,mc3_18,16,2,448,25.2,14.27
driveact,mc3_18,16,4,448,100.0,9.76
driveact,mc3_18,16,8,448,100.0,5.06
driveact,mc3_18,16,16,448,100.0,2.61
driveact,r2plus1d_18,16,1,448,10.7,15.49
driveact,r2plus1d_18,16,2,448,25.2,14.27
driveact,r2plus1d_18,16,4,448,100.0,9.76
driveact,r2plus1d_18,16,8,448,100.0,5.06
driveact,r2plus1d_18,16,16,448,100.0,2.61
driveact,videomae,16,1,448,10.7,15.49
driveact,videomae,16,2,448,25.2,14.27
driveact,videomae,16,4,448,100.0,9.76
driveact,videomae,16,8,448,100.0,5.06
driveact,videomae,16,16,448,100.0,2.61
driveact,vivit,32,1,448,26.1,28.4
driveact,vivit,32,2,448,100.0,19.05
driveact,vivit,32,4,448,100.0,9.76
driveact,vivit,32,8,448,100.0,5.06
driveact,vivit,32,16,448,100.0,2.61
driveact,slowfast_r50,32,1,448,26.1,28.4
driveact,slowfast_r50,32,2,448,100.0,19.05
driveact,slowfast_r50,32,4,448,100.0,9.76
driveact,slowfast_r50,32,8,448,100.0,5.06
driveact,slowfast_r50,32,16,448,100.0,2.61
epic_kitchens,timesformer,8,1,1020,0.0,8.0
epic_kitchens,timesformer,8,2,1020,0.5,7.99
epic_kitchens,timesformer,8,4,1020,5.3,7.9
epic_kitchens,timesformer,8,8,1020,29.1,7.23
epic_kitchens,timesformer,8,16,1020,56.3,5.82
epic_kitchens,r3d_18,16,1,1020,0.7,15.98
epic_kitchens,r3d_18,16,2,1020,7.1,15.75
epic_kitchens,r3d_18,16,4,1020,32.5,14.29
epic_kitchens,r3d_18,16,8,1020,58.6,11.37
epic_kitchens,r3d_18,16,16,1020,81.6,8.03
epic_kitchens,mc3_18,16,1,1020,0.7,15.98
epic_kitchens,mc3_18,16,2,1020,7.1,15.75
epic_kitchens,mc3_18,16,4,1020,32.5,14.29
epic_kitchens,mc3_18,16,8,1020,58.6,11.37
epic_kitchens,mc3_18,16,16,1020,81.6,8.03
epic_kitchens,r2plus1d_18,16,1,1020,0.7,15.98
epic_kitchens,r2plus1d_18,16,2,1020,7.1,15.75
epic_kitchens,r2plus1d_18,16,4,1020,32.5,14.29
epic_kitchens,r2plus1d_18,16,8,1020,58.6,11.37
epic_kitchens,r2plus1d_18,16,16,1020,81.6,8.03
epic_kitchens,videomae,16,1,1020,0.7,15.98
epic_kitchens,videomae,16,2,1020,7.1,15.75
epic_kitchens,videomae,16,4,1020,32.5,14.29
epic_kitchens,videomae,16,8,1020,58.6,11.37
epic_kitchens,videomae,16,16,1020,81.6,8.03
epic_kitchens,vivit,32,1,1020,8.0,31.45
epic_kitchens,vivit,32,2,1020,33.5,28.39
epic_kitchens,vivit,32,4,1020,60.2,22.45
epic_kitchens,vivit,32,8,1020,82.3,15.66
epic_kitchens,vivit,32,16,1020,92.5,9.84
epic_kitchens,slowfast_r50,32,1,1020,8.0,31.45
epic_kitchens,slowfast_r50,32,2,1020,33.5,28.39
epic_kitchens,slowfast_r50,32,4,1020,60.2,22.45
epic_kitchens,slowfast_r50,32,8,1020,82.3,15.66
epic_kitchens,slowfast_r50,32,16,1020,92.5,9.84
