model,dataset,resolution,n_epochs,best_epoch,best_val_acc,gain_last_3,still_improving,log
videomamba,driveact,224,10,10,65.58,2.51,True,retrain-h200-95541.out
videomamba,epic_kitchens,224,10,10,49.97,1.35,True,retrain-h200-95542.out
timesformer,epic_kitchens,336,10,4,46.5,10.07,False,retrain-h200-95556.out
videomamba,ssv2,336,4,4,47.59,28.56,False,retrain-h200-95557.out
videomae,ucf101,336,10,6,92.1,0.11,False,retrain-h200-95579.out
videomae,ssv2,336,10,3,55.65,,False,retrain-h200-95580.out
videomae,hmdb51,336,10,8,78.23,1.21,False,retrain-h200-95582.out
videomae,autsl,336,10,9,77.46,1.36,True,retrain-h200-95586.out
videomae,driveact,336,10,7,74.82,0.45,False,retrain-h200-95590.out
videomae,epic_kitchens,336,10,4,58.07,5.51,False,retrain-h200-95605.out
videomamba,hmdb51,336,10,10,47.58,13.0,True,retrain-h200-95623.out
videomamba,autsl,336,10,2,0.57,,False,retrain-h200-95642.out
videomamba,driveact,336,10,10,69.57,2.14,True,retrain-h200-95678.out
videomamba,epic_kitchens,336,10,10,50.91,2.71,True,retrain-h200-95687.out
slowfast,r50_driveact,96,10,5,67.36,6.8,False,retrain-h200-97186.out
vivit,epic_kitchens,96,10,4,40.5,6.96,False,retrain-h200-97215.out
videomae,ucf101,96,10,4,73.47,10.05,False,retrain-h200-97220.out
videomae,hmdb51,96,10,6,68.25,2.42,False,retrain-h200-97224.out
videomae,autsl,96,10,4,40.43,16.73,False,retrain-h200-97272.out
videomae,epic_kitchens,96,10,4,50.62,3.31,False,retrain-h200-97288.out
videomamba,hmdb51,96,10,10,49.29,10.78,True,retrain-h200-97302.out
videomamba,autsl,96,10,10,4.28,3.67,True,retrain-h200-97384.out
videomamba,driveact,96,10,9,44.68,8.12,True,retrain-h200-97408.out
r3d,18_ucf101,112,10,4,89.4,4.6,False,retrain-h200-97455.out
r3d,18_ssv2,112,10,3,46.57,,False,retrain-h200-97481.out
r3d,18_hmdb51,112,10,9,80.85,0.71,True,retrain-h200-97482.out
r3d,18_autsl,112,10,7,74.85,4.03,False,retrain-h200-97503.out
r3d,18_driveact,112,10,5,80.13,2.21,False,retrain-h200-97504.out
r3d,18_epic_kitchens,112,10,5,57.91,0.93,False,retrain-h200-97554.out
mc3,18_ucf101,112,10,4,86.76,6.77,False,retrain-h200-97568.out
mc3,18_ssv2,112,10,4,46.23,11.65,False,retrain-h200-97633.out
mc3,18_hmdb51,112,10,6,78.93,5.64,False,retrain-h200-97645.out
mc3,18_autsl,112,10,7,66.14,3.1,False,retrain-h200-97666.out
mc3,18_driveact,112,10,9,75.7,0.81,True,retrain-h200-97674.out
mc3,18_epic_kitchens,112,10,6,55.59,0.59,False,retrain-h200-97751.out
r2plus1d,18_ucf101,112,10,3,90.43,,False,retrain-h200-97829.out
r2plus1d,18_ssv2,112,10,3,51.36,,False,retrain-h200-97973.out
r2plus1d,18_hmdb51,112,10,4,81.15,10.59,False,retrain-h200-98104.out
r2plus1d,18_autsl,112,10,8,77.91,2.06,False,retrain-h200-98177.out
r2plus1d,18_driveact,112,10,7,82.5,2.88,False,retrain-h200-98220.out
r2plus1d,18_epic_kitchens,112,10,3,60.63,,False,retrain-h200-98257.out
slowfast,r50_ssv2,112,10,4,42.01,7.32,False,retrain-h200-98293.out
slowfast,r50_hmdb51,112,10,6,74.04,5.73,False,retrain-h200-98315.out
slowfast,r50_ucf101,160,10,5,87.37,0.64,False,retrain-h200-98410.out
slowfast,r50_driveact,112,10,5,68.39,13.44,False,retrain-h200-98419.out
slowfast,r50_epic_kitchens,112,10,5,49.46,1.42,False,retrain-h200-98444.out
vivit,ssv2,112,10,4,34.54,7.83,False,retrain-h200-98477.out
videomae,epic_kitchens,160,10,4,55.38,4.72,False,retrain-h200-98511.out
vivit,autsl,112,10,8,21.12,0.93,False,retrain-h200-98546.out
vivit,epic_kitchens,112,10,4,42.59,7.13,False,retrain-h200-98580.out
videomae,ucf101,112,10,3,83.62,,False,retrain-h200-98766.out
videomae,ssv2,112,10,3,52.0,,False,retrain-h200-98844.out
videomae,hmdb51,112,10,7,71.47,0.6,False,retrain-h200-99254.out
videomae,autsl,112,10,9,47.49,0.86,True,retrain-h200-99382.out
videomae,driveact,112,10,6,71.42,3.4,False,retrain-h200-99409.out
videomamba,ucf101,112,10,10,75.45,4.57,True,retrain-h200-99410.out
videomamba,hmdb51,112,10,10,48.19,9.98,True,retrain-h200-99480.out
videomamba,autsl,112,8,8,18.67,8.03,True,retrain-h200-99597.out
videomamba,driveact,112,10,10,50.37,0.3,True,retrain-h200-99621.out
videomamba,epic_kitchens,112,3,3,31.5,,False,retrain-h200-99657.out
slowfast,r50_hmdb51,160,6,5,77.36,8.85,True,retrain-h200-99672.out
slowfast,r50_driveact,160,4,2,74.08,,False,retrain-h200-99682.out
videomae,hmdb51,160,1,1,58.97,,False,retrain-h200-99795.out
videomamba,epic_kitchens,112,10,7,25.09,0.8,False,retrain-rerun-142901.out
r2plus1d,18_autsl,96,10,9,72.59,0.16,True,retrain-rerun-142902.out
videomamba,ucf101,160,20,15,8.06,1.35,False,retrain-rerun-142903.out
videomamba,diving48,224,14,7,7.01,1.02,False,retrain-rerun-142905.out
slowfast,r50_diving48,112,10,10,36.29,2.38,True,retrain-rerun-142907.out
slowfast,r50_epic_kitchens,112,10,7,49.96,0.72,False,retrain-rerun-142909.out
slowfast,r50_hmdb51,112,10,10,77.77,0.61,True,retrain-rerun-142912.out
slowfast,r50_ssv2,112,10,3,45.75,,False,retrain-rerun-143001.out
slowfast,r50_diving48,112,10,9,56.5,1.27,True,retrain-rerun-diving48-slowfast-112px-143975.out
r2plus1d,18_driveact,96,10,3,81.17,,False,retrain-res-145150.out
slowfast,r50_ucf101,96,10,6,93.5,0.16,False,retrain-res-73900.out
slowfast,r50_ssv2,96,10,4,58.4,6.94,False,retrain-res-73927.out
slowfast,r50_hmdb51,96,10,9,85.81,0.2,True,retrain-res-73935.out
slowfast,r50_diving48,96,10,6,58.98,9.44,False,retrain-res-73944.out
r3d,18_ucf101,96,10,8,86.52,0.5,False,retrain-res-75266.out
r3d,18_ssv2,96,10,3,45.2,,False,retrain-res-75267.out
r3d,18_hmdb51,96,10,9,78.33,1.21,True,retrain-res-75268.out
r3d,18_diving48,96,10,8,30.96,0.76,False,retrain-res-75269.out
r3d,18_ssv2,96,10,3,45.21,,False,retrain-res-75271.out
r3d,18_autsl,96,10,7,69.53,4.93,False,retrain-res-75274.out
r3d,18_driveact,96,10,8,80.5,0.74,False,retrain-res-75325.out
r3d,18_epic_kitchens,96,10,10,58.01,0.17,True,retrain-res-75347.out
r3d,18_ucf101,160,10,8,87.39,0.18,False,retrain-res-75348.out
r3d,18_ssv2,160,10,4,45.8,7.06,False,retrain-res-75393.out
r3d,18_hmdb51,160,10,10,78.73,0.3,True,retrain-res-75451.out
r3d,18_diving48,160,10,7,37.16,2.69,False,retrain-res-75454.out
r3d,18_autsl,160,10,9,82.73,1.2,True,retrain-res-75456.out
r3d,18_driveact,160,10,6,83.23,1.47,False,retrain-res-75462.out
r3d,18_epic_kitchens,160,10,8,59.47,1.2,False,retrain-res-75465.out
mc3,18_ucf101,96,10,7,83.9,0.71,False,retrain-res-75486.out
mc3,18_ssv2,96,10,4,42.37,13.11,False,retrain-res-75488.out
mc3,18_hmdb51,96,10,9,76.92,0.91,True,retrain-res-75509.out
mc3,18_diving48,96,10,8,40.0,4.37,False,retrain-res-75511.out
mc3,18_autsl,96,10,9,53.3,1.58,True,retrain-res-75512.out
mc3,18_driveact,96,10,4,74.89,11.6,False,retrain-res-75546.out
mc3,18_epic_kitchens,96,10,8,50.77,1.46,False,retrain-res-75547.out
mc3,18_ucf101,160,10,9,84.51,0.93,True,retrain-res-75548.out
mc3,18_ssv2,160,10,7,42.8,2.03,False,retrain-res-75549.out
mc3,18_hmdb51,160,10,8,76.11,4.94,False,retrain-res-75554.out
mc3,18_diving48,160,10,8,45.69,11.43,False,retrain-res-75556.out
r2plus1d,18_ssv2,96,10,4,49.63,5.0,False,retrain-res-75559.out
mc3,18_autsl,160,10,9,69.56,3.94,True,retrain-res-75578.out
mc3,18_driveact,160,10,8,79.17,0.74,False,retrain-res-75579.out
r2plus1d,18_ucf101,96,10,8,89.8,0.35,False,retrain-res-75591.out
r2plus1d,18_hmdb51,96,10,9,83.97,0.91,True,retrain-res-75592.out
slowfast,r50_autsl,96,10,7,82.78,2.49,False,retrain-res-75601.out
slowfast,r50_autsl,160,10,8,84.02,4.62,False,retrain-res-75604.out
videomae,ucf101,336,10,3,90.56,,False,retrain-res-75611.out
slowfast,r50_driveact,96,7,7,82.72,1.85,True,retrain-res-75695.out
slowfast,r50_epic_kitchens,96,2,2,62.62,,False,retrain-res-75697.out
slowfast,r50_ucf101,112,6,4,93.63,2.51,False,retrain-res-75699.out
mc3,18_epic_kitchens,160,2,2,46.16,,False,retrain-res-75713.out
r2plus1d,18_autsl,96,2,2,64.55,,False,retrain-res-75729.out
r2plus1d,18_driveact,96,2,2,75.33,,False,retrain-res-75730.out
timesformer,ucf101,96,1,1,56.44,,False,retrain-res-75772.out
timesformer,ssv2,96,1,1,23.84,,False,retrain-res-75773.out
timesformer,hmdb51,96,1,1,40.93,,False,retrain-res-75780.out
timesformer,diving48,96,1,1,12.54,,False,retrain-res-75781.out
timesformer,autsl,96,1,1,3.96,,False,retrain-res-75782.out
timesformer,driveact,96,1,1,44.02,,False,retrain-res-75783.out
timesformer,epic_kitchens,96,1,1,30.21,,False,retrain-res-75784.out
timesformer,ucf101,112,1,1,55.54,,False,retrain-res-75785.out
timesformer,ssv2,112,1,1,27.13,,False,retrain-res-75786.out
timesformer,hmdb51,112,1,1,43.25,,False,retrain-res-75792.out
timesformer,diving48,112,1,1,17.61,,False,retrain-res-75793.out
timesformer,autsl,112,1,1,6.7,,False,retrain-res-75794.out
timesformer,driveact,112,1,1,52.58,,False,retrain-res-75795.out
timesformer,epic_kitchens,112,1,1,33.02,,False,retrain-res-75796.out
timesformer,ucf101,160,1,1,66.67,,False,retrain-res-75797.out
timesformer,ssv2,160,1,1,29.68,,False,retrain-res-75798.out
timesformer,hmdb51,160,1,1,51.81,,False,retrain-res-75802.out
timesformer,diving48,160,1,1,19.8,,False,retrain-res-75808.out
timesformer,autsl,160,1,1,13.63,,False,retrain-res-75809.out
timesformer,driveact,160,1,1,53.32,,False,retrain-res-75810.out
timesformer,epic_kitchens,160,1,1,35.42,,False,retrain-res-75811.out
vivit,ucf101,96,1,1,58.05,,False,retrain-res-75819.out
vivit,ssv2,96,1,1,23.32,,False,retrain-res-75820.out
vivit,hmdb51,96,1,1,34.48,,False,retrain-res-75821.out
vivit,diving48,96,1,1,21.78,,False,retrain-res-75822.out
vivit,autsl,96,1,1,4.75,,False,retrain-res-75823.out
vivit,driveact,96,1,1,43.28,,False,retrain-res-75824.out
vivit,epic_kitchens,96,1,1,32.22,,False,retrain-res-75826.out
vivit,ucf101,112,1,1,60.53,,False,retrain-res-75827.out
vivit,ssv2,112,1,1,24.96,,False,retrain-res-75828.out
vivit,hmdb51,112,1,1,36.9,,False,retrain-res-75829.out
vivit,diving48,112,1,1,21.88,,False,retrain-res-75830.out
vivit,autsl,112,1,1,6.13,,False,retrain-res-75831.out
vivit,driveact,112,1,1,45.42,,False,retrain-res-75832.out
vivit,epic_kitchens,112,1,1,34.48,,False,retrain-res-75833.out
vivit,ucf101,160,1,1,66.9,,False,retrain-res-75835.out
vivit,ssv2,160,1,1,25.74,,False,retrain-res-75844.out
vivit,hmdb51,160,1,1,45.77,,False,retrain-res-75847.out
vivit,diving48,160,1,1,22.69,,False,retrain-res-75849.out
vivit,autsl,160,1,1,9.51,,False,retrain-res-75850.out
vivit,driveact,160,1,1,49.93,,False,retrain-res-75851.out
vivit,epic_kitchens,160,1,1,34.71,,False,retrain-res-75853.out
