model,dataset,k,point,box,delta
r3d_18,hmdb51,8,74.69,63.62,-11.07
r3d_18,hmdb51,16,81.92,72.88,-9.04
r3d_18,kinetics400,1,32.73,14.91,-17.81
r3d_18,kinetics400,2,39.74,16.96,-22.77
r3d_18,kinetics400,4,42.99,24.1,-18.89
r3d_18,kinetics400,8,46.52,33.34,-13.19
r3d_18,kinetics400,16,45.95,38.77,-7.18
r3d_18,ssv2,1,1.69,2.26,0.56
r3d_18,ssv2,2,6.78,7.34,0.56
r3d_18,ssv2,4,14.69,10.17,-4.52
r3d_18,ssv2,8,25.99,21.47,-4.52
r3d_18,ssv2,16,36.16,28.81,-7.34
r3d_18,ucf101,1,39.65,22.03,-17.62
r3d_18,ucf101,2,52.87,29.06,-23.81
r3d_18,ucf101,4,65.94,46.14,-19.8
r3d_18,ucf101,8,77.03,64.6,-12.43
r3d_18,ucf101,16,81.24,74.41,-6.83
slowfast_r50,autsl,1,0.75,1.18,0.43
slowfast_r50,autsl,2,0.84,3.46,2.63
slowfast_r50,autsl,4,21.89,9.55,-12.34
slowfast_r50,autsl,8,41.47,25.87,-15.6
slowfast_r50,autsl,16,47.89,45.74,-2.15
slowfast_r50,diving48,1,5.79,5.65,-0.13
slowfast_r50,diving48,2,6.73,4.04,-2.69
slowfast_r50,diving48,4,12.52,3.9,-8.61
slowfast_r50,diving48,8,19.65,6.46,-13.19
slowfast_r50,diving48,16,26.24,15.07,-11.17
slowfast_r50,driveact,1,41.52,35.27,-6.25
slowfast_r50,driveact,2,47.1,39.06,-8.04
slowfast_r50,driveact,4,56.03,47.77,-8.26
slowfast_r50,driveact,8,59.6,54.02,-5.58
slowfast_r50,driveact,16,67.41,64.96,-2.46
slowfast_r50,epic_kitchens,1,4.31,3.73,-0.59
slowfast_r50,epic_kitchens,2,8.14,5.29,-2.84
slowfast_r50,epic_kitchens,4,9.02,6.76,-2.25
slowfast_r50,epic_kitchens,8,9.9,7.35,-2.55
slowfast_r50,epic_kitchens,16,23.14,17.35,-5.78
slowfast_r50,hmdb51,1,33.79,19.66,-14.12
slowfast_r50,hmdb51,2,42.6,23.39,-19.21
slowfast_r50,hmdb51,4,50.96,33.11,-17.85
slowfast_r50,hmdb51,8,47.01,32.2,-14.8
slowfast_r50,hmdb51,16,70.28,61.81,-8.47
slowfast_r50,kinetics400,1,34.99,13.75,-21.24
slowfast_r50,kinetics400,2,43.19,16.55,-26.64
slowfast_r50,kinetics400,4,49.05,25.52,-23.52
slowfast_r50,kinetics400,8,51.36,32.71,-18.65
slowfast_r50,kinetics400,16,58.3,47.67,-10.62
slowfast_r50,ssv2,1,1.13,1.69,0.56
slowfast_r50,ssv2,2,3.95,3.39,-0.56
slowfast_r50,ssv2,4,9.6,6.78,-2.82
slowfast_r50,ssv2,8,16.38,12.99,-3.39
slowfast_r50,ssv2,16,31.64,27.68,-3.95
slowfast_r50,ucf101,1,41.53,17.77,-23.76
slowfast_r50,ucf101,2,58.81,25.0,-33.81
slowfast_r50,ucf101,4,67.67,42.57,-25.1
slowfast_r50,ucf101,8,74.8,58.96,-15.84
slowfast_r50,ucf101,16,85.79,77.62,-8.17
timesformer,autsl,1,0.72,0.77,0.05
timesformer,autsl,2,1.34,3.12,1.79
timesformer,autsl,4,59.1,24.94,-34.16
timesformer,autsl,8,68.56,48.55,-20.01
timesformer,autsl,16,68.02,55.05,-12.97
timesformer,diving48,1,7.13,2.56,-4.58
timesformer,diving48,2,10.09,4.44,-5.65
timesformer,diving48,4,26.38,7.13,-19.25
timesformer,diving48,8,44.55,14.27,-30.28
timesformer,diving48,16,45.22,17.5,-27.73
timesformer,driveact,1,41.52,40.85,-0.67
timesformer,driveact,2,60.04,52.23,-7.81
timesformer,driveact,4,68.3,61.38,-6.92
timesformer,driveact,8,70.31,66.96,-3.35
timesformer,driveact,16,69.64,68.53,-1.12
timesformer,epic_kitchens,1,7.65,3.33,-4.31
timesformer,epic_kitchens,2,14.71,4.51,-10.2
timesformer,epic_kitchens,4,26.57,8.73,-17.84
timesformer,epic_kitchens,8,31.57,14.41,-17.16
timesformer,epic_kitchens,16,31.08,19.02,-12.06
timesformer,hmdb51,1,39.66,25.99,-13.67
timesformer,hmdb51,2,59.89,44.63,-15.25
timesformer,hmdb51,4,77.63,61.58,-16.05
timesformer,hmdb51,8,80.56,71.86,-8.7
timesformer,hmdb51,16,80.45,75.48,-4.97
timesformer,kinetics400,1,42.55,18.07,-24.47
timesformer,kinetics400,2,60.59,25.51,-35.08
timesformer,kinetics400,4,70.51,38.7,-31.81
timesformer,kinetics400,8,73.75,50.51,-23.24
timesformer,kinetics400,16,73.7,60.02,-13.68
timesformer,ssv2,1,5.08,2.26,-2.82
timesformer,ssv2,2,17.51,11.86,-5.65
timesformer,ssv2,4,31.07,17.51,-13.56
timesformer,ssv2,8,37.85,27.12,-10.73
timesformer,ssv2,16,39.55,28.81,-10.73
timesformer,ucf101,1,69.06,38.37,-30.69
timesformer,ucf101,2,86.29,52.08,-34.21
timesformer,ucf101,4,90.35,69.85,-20.5
timesformer,ucf101,8,91.53,80.59,-10.94
timesformer,ucf101,16,91.63,85.45,-6.19
videomae,autsl,1,0.59,0.52,-0.07
videomae,autsl,2,0.77,1.65,0.88
videomae,autsl,4,33.18,19.51,-13.67
videomae,autsl,8,51.9,41.96,-9.94
videomae,autsl,16,80.51,72.52,-7.99
videomae,diving48,1,5.38,3.36,-2.02
videomae,diving48,2,4.44,3.23,-1.21
videomae,diving48,4,9.02,7.81,-1.21
videomae,diving48,8,19.92,14.94,-4.98
videomae,diving48,16,54.1,26.65,-27.46
videomae,driveact,1,32.37,26.56,-5.8
videomae,driveact,2,40.85,34.82,-6.03
videomae,driveact,4,50.0,44.64,-5.36
videomae,driveact,8,64.51,54.24,-10.27
videomae,driveact,16,73.66,67.41,-6.25
videomae,epic_kitchens,1,5.39,5.1,-0.29
videomae,epic_kitchens,2,5.78,3.63,-2.16
videomae,epic_kitchens,4,11.57,8.04,-3.53
videomae,epic_kitchens,8,15.69,9.9,-5.78
videomae,epic_kitchens,16,38.63,32.45,-6.18
videomae,hmdb51,1,28.59,18.19,-10.4
videomae,hmdb51,2,39.21,26.1,-13.11
videomae,hmdb51,4,58.42,44.63,-13.79
videomae,hmdb51,8,71.3,60.23,-11.07
videomae,hmdb51,16,85.54,78.19,-7.34
videomae,kinetics400,1,47.8,27.57,-20.22
videomae,kinetics400,2,57.41,33.25,-24.16
videomae,kinetics400,4,65.85,44.86,-20.99
videomae,kinetics400,8,70.47,54.99,-15.49
videomae,kinetics400,16,75.7,68.71,-6.99
videomae,ssv2,1,2.26,1.13,-1.13
videomae,ssv2,2,5.08,6.21,1.13
videomae,ssv2,4,22.6,13.56,-9.04
videomae,ssv2,8,29.94,25.99,-3.95
videomae,ssv2,16,49.72,39.55,-10.17
videomae,ucf101,1,47.77,26.53,-21.24
videomae,ucf101,2,66.78,35.84,-30.94
videomae,ucf101,4,83.12,63.07,-20.05
videomae,ucf101,8,89.9,76.73,-13.17
videomae,ucf101,16,96.44,92.57,-3.86
vivit,autsl,1,0.66,0.81,0.16
vivit,autsl,2,0.84,2.08,1.24
vivit,autsl,4,34.7,6.97,-27.73
vivit,autsl,8,62.99,29.65,-33.34
vivit,autsl,16,72.45,50.54,-21.91
vivit,diving48,1,4.44,3.5,-0.94
vivit,diving48,2,4.71,3.9,-0.81
vivit,diving48,4,10.36,3.9,-6.46
vivit,diving48,8,25.84,5.65,-20.19
vivit,diving48,16,43.34,14.94,-28.4
vivit,driveact,1,37.5,32.81,-4.69
vivit,driveact,2,46.65,37.72,-8.93
vivit,driveact,4,56.03,43.3,-12.72
vivit,driveact,8,63.84,52.46,-11.38
vivit,driveact,16,63.39,58.48,-4.91
vivit,epic_kitchens,1,6.67,3.04,-3.63
vivit,epic_kitchens,2,10.49,4.22,-6.27
vivit,epic_kitchens,4,17.94,7.25,-10.69
vivit,epic_kitchens,8,29.51,14.61,-14.9
vivit,epic_kitchens,16,26.18,16.18,-10.0
vivit,hmdb51,1,30.51,18.08,-12.43
vivit,hmdb51,2,45.31,27.01,-18.31
vivit,hmdb51,4,63.95,46.89,-17.06
vivit,hmdb51,8,75.03,64.63,-10.4
vivit,hmdb51,16,78.87,70.73,-8.14
vivit,kinetics400,1,48.93,19.94,-28.99
vivit,kinetics400,2,60.64,27.2,-33.44
vivit,kinetics400,4,69.42,41.05,-28.38
vivit,kinetics400,8,74.0,53.0,-21.0
vivit,kinetics400,16,75.76,62.5,-13.26
vivit,ssv2,1,2.26,2.26,0.0
vivit,ssv2,2,7.34,5.08,-2.26
vivit,ssv2,4,16.95,9.6,-7.34
vivit,ssv2,8,25.99,17.51,-8.47
vivit,ssv2,16,30.51,18.64,-11.86
vivit,ucf101,1,60.64,35.64,-25.0
vivit,ucf101,2,79.11,48.12,-30.99
vivit,ucf101,4,89.46,70.2,-19.26
vivit,ucf101,8,93.51,82.43,-11.09
vivit,ucf101,16,94.46,88.37,-6.09
