model,dataset,k,top1,n,distinct,budget,family,strictly_matched
r2plus1d_18,hmdb51,2,43.38983050847457,885,2.0,16,CNN,True
r2plus1d_18,hmdb51,4,55.81920903954802,885,4.0,16,CNN,True
r2plus1d_18,hmdb51,8,69.71751412429379,885,8.0,16,CNN,True
r2plus1d_18,kinetics400,1,36.675000000000004,8000,1.0,16,CNN,True
r2plus1d_18,kinetics400,16,53.93750000000001,8000,15.999875,16,CNN,True
r2plus1d_18,kinetics400,2,44.2125,8000,2.0,16,CNN,True
r2plus1d_18,kinetics400,4,49.3125,8000,4.0,16,CNN,True
r2plus1d_18,kinetics400,8,53.737500000000004,8000,8.0,16,CNN,True
r2plus1d_18,ssv2,1,2.82485875706214,177,1.0,16,CNN,True
r2plus1d_18,ssv2,16,38.983050847457626,177,15.875706214689265,16,CNN,True
r2plus1d_18,ssv2,2,8.47457627118644,177,2.0,16,CNN,True
r2plus1d_18,ssv2,4,17.51412429378531,177,4.0,16,CNN,True
r2plus1d_18,ssv2,8,28.8135593220339,177,8.0,16,CNN,True
r2plus1d_18,ucf101,1,48.06930693069307,2020,1.0,16,CNN,True
r2plus1d_18,ucf101,16,88.56435643564356,2020,16.0,16,CNN,True
r2plus1d_18,ucf101,2,59.257425742574256,2020,2.0,16,CNN,True
r2plus1d_18,ucf101,4,73.41584158415841,2020,4.0,16,CNN,True
r2plus1d_18,ucf101,8,82.92079207920791,2020,8.0,16,CNN,True
r3d_18,autsl,1,0.6111362607514701,4418,1.0,16,CNN,True
r3d_18,autsl,16,74.98868266183794,4418,15.997962879130828,16,CNN,True
r3d_18,autsl,2,0.7922136713444901,4418,2.0,16,CNN,True
r3d_18,autsl,4,26.663648709823452,4418,4.0,16,CNN,True
r3d_18,autsl,8,62.38116794929832,4418,7.999773653236759,16,CNN,True
r3d_18,diving48,1,5.65275908479138,743,1.0,16,CNN,True
r3d_18,diving48,16,28.802153432032302,743,16.0,16,CNN,True
r3d_18,diving48,2,7.53701211305518,743,2.0,16,CNN,True
r3d_18,diving48,4,11.44010767160161,743,4.0,16,CNN,True
r3d_18,diving48,8,17.362045760430682,743,8.0,16,CNN,True
r3d_18,driveact,1,35.49107142857143,448,1.0,16,CNN,True
r3d_18,driveact,16,68.75,448,15.491071428571429,16,CNN,True
r3d_18,driveact,2,44.64285714285714,448,2.0,16,CNN,True
r3d_18,driveact,4,53.125,448,4.0,16,CNN,True
r3d_18,driveact,8,64.28571428571429,448,7.993303571428571,16,CNN,True
r3d_18,epic_kitchens,1,7.54901960784313,1020,1.0,16,CNN,True
r3d_18,epic_kitchens,16,37.05882352941176,1020,15.980392156862743,16,CNN,True
r3d_18,epic_kitchens,2,10.88235294117647,1020,2.0,16,CNN,True
r3d_18,epic_kitchens,4,21.86274509803921,1020,4.0,16,CNN,True
r3d_18,epic_kitchens,8,30.39215686274509,1020,8.0,16,CNN,True
r3d_18,hmdb51,1,36.94915254237288,885,1.0,16,CNN,True
r3d_18,hmdb51,16,80.33898305084746,885,16.0,16,CNN,True
r3d_18,hmdb51,2,49.94350282485876,885,2.0,16,CNN,True
r3d_18,hmdb51,4,62.71186440677966,885,4.0,16,CNN,True
r3d_18,hmdb51,8,73.44632768361582,885,8.0,16,CNN,True
r3d_18,kinetics400,1,36.5,400,1.0,16,CNN,True
r3d_18,kinetics400,16,45.0,400,16.0,16,CNN,True
r3d_18,kinetics400,2,43.0,400,2.0,16,CNN,True
r3d_18,kinetics400,4,42.0,400,4.0,16,CNN,True
r3d_18,kinetics400,8,45.75,400,8.0,16,CNN,True
r3d_18,ssv2,1,1.69491525423728,177,1.0,16,CNN,True
r3d_18,ssv2,16,36.15819209039548,177,15.875706214689265,16,CNN,True
r3d_18,ssv2,2,6.77966101694915,177,2.0,16,CNN,True
r3d_18,ssv2,4,14.689265536723159,177,4.0,16,CNN,True
r3d_18,ssv2,8,25.98870056497175,177,8.0,16,CNN,True
r3d_18,ucf101,1,39.65346534653465,2020,1.0,16,CNN,True
r3d_18,ucf101,16,81.23762376237624,2020,16.0,16,CNN,True
r3d_18,ucf101,2,52.87128712871287,2020,2.0,16,CNN,True
r3d_18,ucf101,4,65.99009900990099,2020,4.0,16,CNN,True
r3d_18,ucf101,8,77.12871287128714,2020,8.0,16,CNN,True
slowfast_r50,autsl,1,0.74694431869624,4418,1.0,32,Dual-CNN,True
slowfast_r50,autsl,16,47.87234042553192,4418,15.997962879130828,32,Dual-CNN,True
slowfast_r50,autsl,2,0.83748302399275,4418,2.0,32,Dual-CNN,True
slowfast_r50,autsl,4,21.88773200543232,4418,4.0,32,Dual-CNN,True
slowfast_r50,autsl,8,41.46672702580353,4418,7.999773653236759,32,Dual-CNN,True
slowfast_r50,diving48,1,5.78734858681022,743,1.0,32,Dual-CNN,True
slowfast_r50,diving48,16,26.244952893674288,743,16.0,32,Dual-CNN,True
slowfast_r50,diving48,2,6.72947510094212,743,2.0,32,Dual-CNN,True
slowfast_r50,diving48,4,12.516823687752348,743,4.0,32,Dual-CNN,True
slowfast_r50,diving48,8,19.650067294751,743,8.0,32,Dual-CNN,True
slowfast_r50,driveact,1,41.51785714285714,448,1.0,32,Dual-CNN,True
slowfast_r50,driveact,16,67.41071428571429,448,15.491071428571429,32,Dual-CNN,True
slowfast_r50,driveact,2,47.09821428571428,448,2.0,32,Dual-CNN,True
slowfast_r50,driveact,4,56.02678571428571,448,4.0,32,Dual-CNN,True
slowfast_r50,driveact,8,59.59821428571429,448,7.993303571428571,32,Dual-CNN,True
slowfast_r50,epic_kitchens,1,4.31372549019607,1020,1.0,32,Dual-CNN,True
slowfast_r50,epic_kitchens,16,23.13725490196078,1020,15.980392156862743,32,Dual-CNN,True
slowfast_r50,epic_kitchens,2,8.13725490196078,1020,2.0,32,Dual-CNN,True
slowfast_r50,epic_kitchens,4,9.019607843137251,1020,4.0,32,Dual-CNN,True
slowfast_r50,epic_kitchens,8,9.901960784313719,1020,8.0,32,Dual-CNN,True
slowfast_r50,hmdb51,1,33.785310734463266,885,1.0,32,Dual-CNN,True
slowfast_r50,hmdb51,16,69.49152542372882,885,16.0,32,Dual-CNN,True
slowfast_r50,hmdb51,2,43.1638418079096,885,2.0,32,Dual-CNN,True
slowfast_r50,hmdb51,4,51.29943502824859,885,4.0,32,Dual-CNN,True
slowfast_r50,hmdb51,8,46.89265536723164,885,8.0,32,Dual-CNN,True
slowfast_r50,kinetics400,1,35.0,8000,1.0,32,Dual-CNN,True
slowfast_r50,kinetics400,16,58.3125,8000,15.999875,32,Dual-CNN,True
slowfast_r50,kinetics400,2,43.1625,8000,2.0,32,Dual-CNN,True
slowfast_r50,kinetics400,4,49.05,8000,4.0,32,Dual-CNN,True
slowfast_r50,kinetics400,8,51.349999999999994,8000,8.0,32,Dual-CNN,True
slowfast_r50,ssv2,1,1.1299435028248501,177,1.0,32,Dual-CNN,True
slowfast_r50,ssv2,16,31.63841807909605,177,15.875706214689265,32,Dual-CNN,True
slowfast_r50,ssv2,2,3.954802259887,177,2.0,32,Dual-CNN,True
slowfast_r50,ssv2,4,9.6045197740113,177,4.0,32,Dual-CNN,True
slowfast_r50,ssv2,8,16.94915254237288,177,8.0,32,Dual-CNN,True
slowfast_r50,ucf101,1,41.53465346534653,2020,1.0,32,Dual-CNN,True
slowfast_r50,ucf101,16,85.79207920792079,2020,16.0,32,Dual-CNN,True
slowfast_r50,ucf101,2,58.86138613861386,2020,2.0,32,Dual-CNN,True
slowfast_r50,ucf101,4,67.72277227722773,2020,4.0,32,Dual-CNN,True
slowfast_r50,ucf101,8,74.85148514851485,2020,8.0,32,Dual-CNN,True
timesformer,autsl,1,0.72430964237211,4418,1.0,8,Transformer,True
timesformer,autsl,16,68.03983703033046,4418,15.997962879130828,8,Transformer,False
timesformer,autsl,2,1.33544590312358,4418,2.0,8,Transformer,True
timesformer,autsl,4,59.121774558623805,4418,4.0,8,Transformer,True
timesformer,autsl,8,68.5377999094613,4418,7.999773653236759,8,Transformer,True
timesformer,diving48,1,6.99865410497981,743,1.0,8,Transformer,True
timesformer,diving48,16,45.22207267833109,743,16.0,8,Transformer,False
timesformer,diving48,2,10.094212651413189,743,2.0,8,Transformer,True
timesformer,diving48,4,26.37954239569313,743,4.0,8,Transformer,True
timesformer,diving48,8,44.54912516823687,743,8.0,8,Transformer,True
timesformer,driveact,1,18.75,64,1.0,8,Transformer,True
timesformer,driveact,16,54.6875,64,15.453125,8,Transformer,False
timesformer,driveact,2,46.875,64,2.0,8,Transformer,True
timesformer,driveact,4,54.6875,64,4.0,8,Transformer,True
timesformer,driveact,8,56.25,64,8.0,8,Transformer,True
timesformer,epic_kitchens,1,7.6470588235294095,1020,1.0,8,Transformer,True
timesformer,epic_kitchens,16,31.07843137254902,1020,15.980392156862743,8,Transformer,False
timesformer,epic_kitchens,2,14.705882352941169,1020,2.0,8,Transformer,True
timesformer,epic_kitchens,4,26.568627450980394,1020,4.0,8,Transformer,True
timesformer,epic_kitchens,8,31.56862745098039,1020,8.0,8,Transformer,True
timesformer,hmdb51,1,39.66101694915254,885,1.0,8,Transformer,True
timesformer,hmdb51,16,79.77401129943503,885,16.0,8,Transformer,False
timesformer,hmdb51,2,59.774011299435024,885,2.0,8,Transformer,True
timesformer,hmdb51,4,76.38418079096046,885,4.0,8,Transformer,True
timesformer,hmdb51,8,79.3220338983051,885,8.0,8,Transformer,True
timesformer,kinetics400,1,42.5375,8000,1.0,8,Transformer,True
timesformer,kinetics400,16,73.6875,8000,15.999875,8,Transformer,False
timesformer,kinetics400,2,60.587500000000006,8000,2.0,8,Transformer,True
timesformer,kinetics400,4,70.5125,8000,4.0,8,Transformer,True
timesformer,kinetics400,8,73.775,8000,8.0,8,Transformer,True
timesformer,ssv2,1,5.08474576271186,177,1.0,8,Transformer,True
timesformer,ssv2,16,39.548022598870055,177,15.875706214689265,8,Transformer,False
timesformer,ssv2,2,17.51412429378531,177,2.0,8,Transformer,True
timesformer,ssv2,4,31.07344632768362,177,4.0,8,Transformer,True
timesformer,ssv2,8,38.4180790960452,177,8.0,8,Transformer,True
timesformer,ucf101,1,69.05940594059405,2020,1.0,8,Transformer,True
timesformer,ucf101,16,91.5841584158416,2020,16.0,8,Transformer,False
timesformer,ucf101,2,86.33663366336634,2020,2.0,8,Transformer,True
timesformer,ucf101,4,90.34653465346535,2020,4.0,8,Transformer,True
timesformer,ucf101,8,91.53465346534654,2020,8.0,8,Transformer,True
videomae,autsl,1,0.58850158442734,4418,1.0,16,Transformer,True
videomae,autsl,16,80.5115436849253,4418,15.997962879130828,16,Transformer,True
videomae,autsl,2,0.76957899502037,4418,2.0,16,Transformer,True
videomae,autsl,4,33.18243549117247,4418,4.0,16,Transformer,True
videomae,autsl,8,51.901312811226795,4418,7.999773653236759,16,Transformer,True
videomae,diving48,1,5.3835800807537,743,1.0,16,Transformer,True
videomae,diving48,16,54.104979811574694,743,16.0,16,Transformer,True
videomae,diving48,2,4.4414535666218,743,2.0,16,Transformer,True
videomae,diving48,4,9.01749663526245,743,4.0,16,Transformer,True
videomae,diving48,8,19.91924629878869,743,8.0,16,Transformer,True
videomae,driveact,1,32.36607142857143,448,1.0,16,Transformer,True
videomae,driveact,16,73.66071428571429,448,15.491071428571429,16,Transformer,True
videomae,driveact,2,40.84821428571428,448,2.0,16,Transformer,True
videomae,driveact,4,50.0,448,4.0,16,Transformer,True
videomae,driveact,8,64.50892857142857,448,7.993303571428571,16,Transformer,True
videomae,epic_kitchens,1,5.3921568627450895,1020,1.0,16,Transformer,True
videomae,epic_kitchens,16,38.62745098039216,1020,15.980392156862743,16,Transformer,True
videomae,epic_kitchens,2,5.78431372549019,1020,2.0,16,Transformer,True
videomae,epic_kitchens,4,11.56862745098039,1020,4.0,16,Transformer,True
videomae,epic_kitchens,8,15.686274509803921,1020,8.0,16,Transformer,True
videomae,hmdb51,1,28.587570621468927,885,1.0,16,Transformer,True
videomae,hmdb51,16,83.954802259887,885,16.0,16,Transformer,True
videomae,hmdb51,2,38.64406779661017,885,2.0,16,Transformer,True
videomae,hmdb51,4,57.74011299435028,885,4.0,16,Transformer,True
videomae,hmdb51,8,68.8135593220339,885,8.0,16,Transformer,True
videomae,kinetics400,1,47.75,400,1.0,16,Transformer,True
videomae,kinetics400,16,72.75,400,16.0,16,Transformer,True
videomae,kinetics400,2,59.25,400,2.0,16,Transformer,True
videomae,kinetics400,4,64.5,400,4.0,16,Transformer,True
videomae,kinetics400,8,69.75,400,8.0,16,Transformer,True
videomae,ssv2,1,2.25988700564971,177,1.0,16,Transformer,True
videomae,ssv2,16,49.717514124293785,177,15.875706214689265,16,Transformer,True
videomae,ssv2,2,5.08474576271186,177,2.0,16,Transformer,True
videomae,ssv2,4,22.59887005649717,177,4.0,16,Transformer,True
videomae,ssv2,8,29.943502824858758,177,8.0,16,Transformer,True
videomae,ucf101,1,47.77227722772277,2020,1.0,16,Transformer,True
videomae,ucf101,16,96.43564356435644,2020,16.0,16,Transformer,True
videomae,ucf101,2,66.88118811881189,2020,2.0,16,Transformer,True
videomae,ucf101,4,83.11881188118811,2020,4.0,16,Transformer,True
videomae,ucf101,8,89.9009900990099,2020,8.0,16,Transformer,True
vivit,autsl,1,0.65640561339972,4418,1.0,32,Transformer,True
vivit,autsl,16,72.45359891353553,4418,15.997962879130828,32,Transformer,True
vivit,autsl,2,0.83748302399275,4418,2.0,32,Transformer,True
vivit,autsl,4,34.69895880488909,4418,4.0,32,Transformer,True
vivit,autsl,8,62.992304210049795,4418,7.999773653236759,32,Transformer,True
vivit,diving48,1,4.4414535666218,743,1.0,32,Transformer,True
vivit,diving48,16,43.33781965006729,743,16.0,32,Transformer,True
vivit,diving48,2,4.71063257065948,743,2.0,32,Transformer,True
vivit,diving48,4,10.363391655450869,743,4.0,32,Transformer,True
vivit,diving48,8,25.841184387617762,743,8.0,32,Transformer,True
vivit,driveact,1,37.5,448,1.0,32,Transformer,True
vivit,driveact,16,63.39285714285714,448,15.491071428571429,32,Transformer,True
vivit,driveact,2,46.65178571428571,448,2.0,32,Transformer,True
vivit,driveact,4,56.02678571428571,448,4.0,32,Transformer,True
vivit,driveact,8,63.83928571428571,448,7.993303571428571,32,Transformer,True
vivit,epic_kitchens,1,6.66666666666666,1020,1.0,32,Transformer,True
vivit,epic_kitchens,16,26.17647058823529,1020,15.980392156862743,32,Transformer,True
vivit,epic_kitchens,2,10.49019607843137,1020,2.0,32,Transformer,True
vivit,epic_kitchens,4,17.94117647058823,1020,4.0,32,Transformer,True
vivit,epic_kitchens,8,29.50980392156863,1020,8.0,32,Transformer,True
vivit,hmdb51,1,30.508474576271187,885,1.0,32,Transformer,True
vivit,hmdb51,16,76.94915254237287,885,16.0,32,Transformer,True
vivit,hmdb51,2,44.293785310734464,885,2.0,32,Transformer,True
vivit,hmdb51,4,63.502824858757066,885,4.0,32,Transformer,True
vivit,hmdb51,8,73.22033898305085,885,8.0,32,Transformer,True
vivit,kinetics400,1,48.925000000000004,8000,1.0,32,Transformer,True
vivit,kinetics400,16,75.7625,8000,15.999875,32,Transformer,True
vivit,kinetics400,2,60.6375,8000,2.0,32,Transformer,True
vivit,kinetics400,4,69.425,8000,4.0,32,Transformer,True
vivit,kinetics400,8,74.0,8000,8.0,32,Transformer,True
vivit,ssv2,1,2.25988700564971,177,1.0,32,Transformer,True
vivit,ssv2,16,30.508474576271187,177,15.875706214689265,32,Transformer,True
vivit,ssv2,2,7.3446327683615795,177,2.0,32,Transformer,True
vivit,ssv2,4,16.94915254237288,177,4.0,32,Transformer,True
vivit,ssv2,8,25.98870056497175,177,8.0,32,Transformer,True
vivit,ucf101,1,60.64356435643564,2020,1.0,32,Transformer,True
vivit,ucf101,16,94.45544554455444,2020,16.0,32,Transformer,True
vivit,ucf101,2,79.15841584158416,2020,2.0,32,Transformer,True
vivit,ucf101,4,89.45544554455445,2020,4.0,32,Transformer,True
vivit,ucf101,8,93.46534653465348,2020,8.0,32,Transformer,True
