model,dataset,k_low,k_high,best_tau,accuracy,avg_frames,delta_acc,fixed_low,fixed_high
VideoMAE,hmdb51,4,32,"[np.float64(0.3), np.float64(0.1), np.float64(0.1)]",0.6621,5.55,0.1469,0.5153,0.8441
R2plus1D-18,diving48,4,8,0.384,0.1252,6.0,0.039,0.0861,0.1682
R2plus1D-18,diving48,4,16,0.485,0.2719,11.82,0.1036,0.0861,0.3526
R2plus1D-18,diving48,4,32,0.162,0.1036,5.85,0.0175,0.0861,0.3472
R2plus1D-18,diving48,8,16,0.495,0.2651,11.81,0.0969,0.1682,0.3526
R2plus1D-18,diving48,8,32,0.273,0.2059,11.59,0.0377,0.1682,0.3472
R2plus1D-18,diving48,16,32,0.495,0.354,19.68,0.0013,0.3526,0.3472
R2plus1D-18,diving48,4,32,"[np.float64(0.5), np.float64(0.9), np.float64(0.1)]",0.2665,11.38,0.0983,0.0861,0.3472
SlowFast,diving48,4,8,0.131,0.1036,5.86,0.0458,0.0579,0.1454
SlowFast,diving48,4,16,0.172,0.1898,11.8,0.0444,0.0579,0.2638
SlowFast,diving48,4,32,0.182,0.3607,22.99,0.0969,0.0579,0.5047
SlowFast,diving48,8,16,0.283,0.2005,11.8,0.0552,0.1454,0.2638
SlowFast,diving48,8,32,0.394,0.3795,23.57,0.1157,0.1454,0.5047
SlowFast,diving48,16,32,0.556,0.4092,23.95,0.1454,0.2638,0.5047
SlowFast,diving48,4,32,"[np.float64(0.3), np.float64(0.9), np.float64(0.7)]",0.4105,23.9,0.1467,0.0579,0.5047
VideoMAE,diving48,4,8,0.424,0.1911,5.97,0.105,0.0861,0.2759
VideoMAE,diving48,4,16,0.596,0.3701,11.99,0.0942,0.0861,0.4859
VideoMAE,diving48,4,32,0.152,0.1171,5.88,0.031,0.0861,0.4993
VideoMAE,diving48,8,16,0.636,0.3836,11.84,0.1077,0.2759,0.4859
VideoMAE,diving48,8,32,0.343,0.3163,11.94,0.0404,0.2759,0.4993
VideoMAE,diving48,16,32,0.838,0.5061,23.17,0.0202,0.4859,0.4993
VideoMAE,diving48,4,32,"[np.float64(0.9), np.float64(0.7), np.float64(0.3)]",0.3782,11.89,0.1023,0.0861,0.4993
