duration_bin,n,acc_dense,acc_sparse,aliasing_loss_pp,model,dataset,pearson_r_dur_aliasing,pearson_p
1-3s,615,0.3918699186991869,0.2,19.186991869918696,timesformer,ssv2,,
3-6s,2639,0.4312239484653278,0.3175445244410761,11.367942402425165,timesformer,ssv2,,
1-3s,304,0.6907894736842105,0.618421052631579,7.236842105263152,timesformer,hmdb51,,
3-6s,471,0.8428874734607219,0.8195329087048833,2.335456475583864,timesformer,hmdb51,,
>6s,103,0.9320388349514565,0.9223300970873788,0.9708737864077666,timesformer,hmdb51,,
1-3s,165,0.4424242424242424,0.3151515151515151,12.727272727272732,timesformer,diving48,,
3-6s,447,0.3557046979865771,0.3713646532438479,-1.5659955257270708,timesformer,diving48,,
>6s,130,0.4,0.3923076923076923,0.769230769230772,timesformer,diving48,,
1-3s,4120,0.6577669902912622,0.4919902912621359,16.57766990291262,timesformer,autsl,,
3-6s,295,0.8101694915254237,0.7254237288135593,8.47457627118644,timesformer,autsl,,
<1s,48,0.7083333333333334,0.625,8.333333333333337,timesformer,driveact,,
1-3s,277,0.6353790613718412,0.5523465703971119,8.303249097472932,timesformer,driveact,,
3-6s,123,0.7560975609756098,0.6666666666666666,8.943089430894313,timesformer,driveact,,
<1s,331,0.3051359516616314,0.2356495468277945,6.948640483383686,timesformer,epic_kitchens,,
1-3s,411,0.2968369829683698,0.2822384428223844,1.459854014598544,timesformer,epic_kitchens,,
3-6s,162,0.3333333333333333,0.3333333333333333,0.0,timesformer,epic_kitchens,,
>6s,116,0.4482758620689655,0.4396551724137931,0.8620689655172431,timesformer,epic_kitchens,,
1-3s,142,0.9295774647887324,0.823943661971831,10.563380281690138,vivit,ucf101,,
3-6s,788,0.9137055837563453,0.8388324873096447,7.487309644670049,vivit,ucf101,,
>6s,1090,0.9651376146788992,0.9357798165137616,2.9357798165137616,vivit,ucf101,,
1-3s,615,0.3382113821138211,0.0682926829268292,26.991869918699184,vivit,ssv2,,
3-6s,2639,0.3937097385373247,0.0784388025767336,31.52709359605912,vivit,ssv2,,
1-3s,304,0.7335526315789473,0.4309210526315789,30.26315789473684,vivit,hmdb51,,
3-6s,471,0.832271762208068,0.6687898089171974,16.348195329087055,vivit,hmdb51,,
>6s,103,0.883495145631068,0.8932038834951457,-0.9708737864077666,vivit,hmdb51,,
1-3s,165,0.6060606060606061,0.1454545454545454,46.06060606060606,vivit,diving48,,
3-6s,447,0.4988814317673378,0.1543624161073825,34.45190156599553,vivit,diving48,,
>6s,130,0.5461538461538461,0.2384615384615384,30.76923076923076,vivit,diving48,,
1-3s,4120,0.7385922330097088,0.1245145631067961,61.40776699029127,vivit,autsl,,
3-6s,295,0.8610169491525423,0.1322033898305084,72.88135593220339,vivit,autsl,,
<1s,48,0.7083333333333334,0.6041666666666666,10.416666666666677,vivit,driveact,,
1-3s,277,0.631768953068592,0.4332129963898917,19.855595667870038,vivit,driveact,,
3-6s,123,0.7560975609756098,0.5040650406504065,25.20325203252033,vivit,driveact,,
<1s,331,0.283987915407855,0.1178247734138972,16.61631419939577,vivit,epic_kitchens,,
1-3s,411,0.316301703163017,0.1849148418491484,13.138686131386862,vivit,epic_kitchens,,
3-6s,162,0.3518518518518518,0.3271604938271605,2.469135802469136,vivit,epic_kitchens,,
>6s,116,0.4741379310344827,0.4741379310344827,0.0,vivit,epic_kitchens,,
1-3s,142,0.9366197183098592,0.8661971830985915,7.042253521126762,videomae,ucf101,,
3-6s,788,0.9403553299492384,0.8794416243654822,6.091370558375631,videomae,ucf101,,
>6s,1090,0.9669724770642202,0.9559633027522936,1.1009174311926606,videomae,ucf101,,
1-3s,615,0.4813008130081301,0.1349593495934959,34.63414634146342,videomae,ssv2,,
3-6s,2639,0.5361879499810535,0.1913603637741568,34.48275862068966,videomae,ssv2,,
1-3s,304,0.756578947368421,0.4703947368421052,28.61842105263157,videomae,hmdb51,,
3-6s,471,0.8789808917197452,0.6942675159235668,18.47133757961784,videomae,hmdb51,,
>6s,103,0.912621359223301,0.8932038834951457,1.941747572815533,videomae,hmdb51,,
1-3s,165,0.5151515151515151,0.1212121212121212,39.39393939393939,videomae,diving48,,
3-6s,447,0.4720357941834452,0.2550335570469799,21.700223713646533,videomae,diving48,,
>6s,130,0.5,0.4076923076923077,9.230769230769232,videomae,diving48,,
1-3s,4120,0.7893203883495146,0.1660194174757281,62.33009708737865,videomae,autsl,,
3-6s,295,0.888135593220339,0.4338983050847457,45.42372881355932,videomae,autsl,,
<1s,48,0.7291666666666666,0.2708333333333333,45.83333333333333,videomae,driveact,,
1-3s,277,0.6931407942238267,0.3104693140794224,38.26714801444043,videomae,driveact,,
3-6s,123,0.8455284552845529,0.3983739837398374,44.71544715447155,videomae,driveact,,
<1s,331,0.3716012084592145,0.1722054380664652,19.939577039274926,videomae,epic_kitchens,,
1-3s,411,0.3333333333333333,0.2360097323600973,9.7323600973236,videomae,epic_kitchens,,
3-6s,162,0.3703703703703703,0.3518518518518518,1.851851851851849,videomae,epic_kitchens,,
>6s,116,0.5603448275862069,0.5517241379310345,0.8620689655172376,videomae,epic_kitchens,,
1-3s,142,0.8943661971830986,0.8802816901408451,1.4084507042253502,videomamba,ucf101,,
3-6s,788,0.8489847715736041,0.8451776649746193,0.3807106598984755,videomamba,ucf101,,
>6s,1090,0.9073394495412844,0.8963302752293578,1.1009174311926606,videomamba,ucf101,,
1-3s,615,0.3577235772357723,0.2178861788617886,13.983739837398373,videomamba,ssv2,,
3-6s,2639,0.4573702159909056,0.3186813186813186,13.8688897309587,videomamba,ssv2,,
1-3s,304,0.5855263157894737,0.5131578947368421,7.236842105263152,videomamba,hmdb51,,
3-6s,471,0.7430997876857749,0.721868365180467,2.123142250530785,videomamba,hmdb51,,
>6s,103,0.8349514563106796,0.8349514563106796,0.0,videomamba,hmdb51,,
1-3s,165,0.4242424242424242,0.2303030303030303,19.393939393939394,videomamba,diving48,,
3-6s,447,0.348993288590604,0.3333333333333333,1.5659955257270708,videomamba,diving48,,
>6s,130,0.3461538461538461,0.3846153846153846,-3.84615384615385,videomamba,diving48,,
1-3s,4120,0.0046116504854368,0.0046116504854368,0.0,videomamba,autsl,,
3-6s,295,0.0,0.0,0.0,videomamba,autsl,,
<1s,48,0.7083333333333334,0.6875,2.083333333333337,videomamba,driveact,,
1-3s,277,0.555956678700361,0.4548736462093863,10.108303249097473,videomamba,driveact,,
3-6s,123,0.5691056910569106,0.4715447154471545,9.756097560975608,videomamba,driveact,,
<1s,331,0.2870090634441087,0.2477341389728096,3.92749244712991,videomamba,epic_kitchens,,
1-3s,411,0.2457420924574209,0.2360097323600973,0.9732360097323616,videomamba,epic_kitchens,,
3-6s,162,0.2716049382716049,0.2839506172839506,-1.2345679012345678,videomamba,epic_kitchens,,
>6s,116,0.4224137931034483,0.4137931034482758,0.8620689655172431,videomamba,epic_kitchens,,
1-3s,142,0.8380281690140845,0.676056338028169,16.19718309859155,r3d_18,ucf101,-0.999640665476775,0.0170670161140142
3-6s,788,0.7906091370558376,0.6865482233502538,10.40609137055838,r3d_18,ucf101,-0.999640665476775,0.0170670161140142
>6s,1090,0.8247706422018348,0.810091743119266,1.4678899082568808,r3d_18,ucf101,-0.999640665476775,0.0170670161140142
1-3s,304,0.7335526315789473,0.3717105263157895,36.18421052631579,r3d_18,hmdb51,-0.97686102219962,0.137217091097433
3-6s,471,0.8280254777070064,0.673036093418259,15.498938428874744,r3d_18,hmdb51,-0.97686102219962,0.137217091097433
>6s,103,0.912621359223301,0.8932038834951457,1.941747572815533,r3d_18,hmdb51,-0.97686102219962,0.137217091097433
1-3s,165,0.3272727272727272,0.0666666666666666,26.060606060606062,r3d_18,diving48,-0.8847697332804104,0.3086311343420385
3-6s,447,0.2706935123042505,0.1342281879194631,13.646532438478744,r3d_18,diving48,-0.8847697332804104,0.3086311343420385
>6s,130,0.3,0.1846153846153846,11.538461538461537,r3d_18,diving48,-0.8847697332804104,0.3086311343420385
<1s,48,0.6875,0.5625,12.5,r3d_18,driveact,0.7298625881416936,0.4791680492110499
1-3s,277,0.6678700361010831,0.4115523465703971,25.631768953068597,r3d_18,driveact,0.7298625881416936,0.4791680492110499
3-6s,123,0.7154471544715447,0.4715447154471545,24.390243902439025,r3d_18,driveact,0.7298625881416936,0.4791680492110499
<1s,331,0.3806646525679758,0.175226586102719,20.54380664652568,r3d_18,epic_kitchens,-0.9249595459988552,0.0750404540011446
1-3s,411,0.3309002433090024,0.1922141119221411,13.86861313868613,r3d_18,epic_kitchens,-0.9249595459988552,0.0750404540011446
3-6s,162,0.3703703703703703,0.345679012345679,2.469135802469136,r3d_18,epic_kitchens,-0.9249595459988552,0.0750404540011446
>6s,116,0.4913793103448275,0.4827586206896552,0.8620689655172376,r3d_18,epic_kitchens,-0.9249595459988552,0.0750404540011446
1-3s,142,0.8450704225352113,0.7816901408450704,6.338028169014088,mc3_18,ucf101,-0.9594063583383332,0.1820138005344581
3-6s,788,0.8210659898477157,0.766497461928934,5.456852791878175,mc3_18,ucf101,-0.9594063583383332,0.1820138005344581
>6s,1090,0.8788990825688073,0.8733944954128441,0.5504587155963248,mc3_18,ucf101,-0.9594063583383332,0.1820138005344581
1-3s,304,0.7171052631578947,0.5625,15.460526315789467,mc3_18,hmdb51,-0.9962554195170118,0.055110242179765
3-6s,471,0.8110403397027601,0.732484076433121,7.855626326963916,mc3_18,hmdb51,-0.9962554195170118,0.055110242179765
>6s,103,0.8932038834951457,0.8932038834951457,0.0,mc3_18,hmdb51,-0.9962554195170118,0.055110242179765
1-3s,165,0.3090909090909091,0.1454545454545454,16.363636363636363,mc3_18,diving48,-0.9999297921562948,0.0075438054399629
3-6s,447,0.3176733780760626,0.192393736017897,12.527964205816556,mc3_18,diving48,-0.9999297921562948,0.0075438054399629
>6s,130,0.3230769230769231,0.2538461538461538,6.923076923076926,mc3_18,diving48,-0.9999297921562948,0.0075438054399629
<1s,48,0.7083333333333334,0.6666666666666666,4.166666666666674,mc3_18,driveact,0.6179322160477677,0.5759412147586733
1-3s,277,0.6714801444043321,0.5126353790613718,15.884476534296033,mc3_18,driveact,0.6179322160477677,0.5759412147586733
3-6s,123,0.7235772357723578,0.5934959349593496,13.008130081300816,mc3_18,driveact,0.6179322160477677,0.5759412147586733
<1s,331,0.3141993957703927,0.1722054380664652,14.199395770392748,mc3_18,epic_kitchens,-0.8011025167979371,0.1988974832020629
1-3s,411,0.3260340632603406,0.2408759124087591,8.515815085158149,mc3_18,epic_kitchens,-0.8011025167979371,0.1988974832020629
3-6s,162,0.4012345679012346,0.3888888888888889,1.2345679012345678,mc3_18,epic_kitchens,-0.8011025167979371,0.1988974832020629
>6s,116,0.5689655172413793,0.5344827586206896,3.4482758620689724,mc3_18,epic_kitchens,-0.8011025167979371,0.1988974832020629
1-3s,142,0.8732394366197183,0.7535211267605634,11.971830985915489,r2plus1d_18,ucf101,-0.9999645175005388,0.0053629470293111
3-6s,788,0.850253807106599,0.7715736040609137,7.868020304568535,r2plus1d_18,ucf101,-0.9999645175005388,0.0053629470293111
>6s,1090,0.9128440366972476,0.8899082568807339,2.293577981651373,r2plus1d_18,ucf101,-0.9999645175005388,0.0053629470293111
1-3s,304,0.6677631578947368,0.3552631578947368,31.25,r2plus1d_18,hmdb51,-0.9821361151781992,0.1205123954712934
3-6s,471,0.7558386411889597,0.6305732484076433,12.526539278131644,r2plus1d_18,hmdb51,-0.9821361151781992,0.1205123954712934
>6s,103,0.8058252427184466,0.8155339805825242,-0.9708737864077666,r2plus1d_18,hmdb51,-0.9821361151781992,0.1205123954712934
1-3s,165,0.3515151515151515,0.1212121212121212,23.030303030303028,r2plus1d_18,diving48,-0.9339274976787648,0.2327160017748025
3-6s,447,0.3646532438478747,0.1476510067114094,21.700223713646533,r2plus1d_18,diving48,-0.9339274976787648,0.2327160017748025
>6s,130,0.3153846153846154,0.2769230769230769,3.846153846153844,r2plus1d_18,diving48,-0.9339274976787648,0.2327160017748025
<1s,48,0.6666666666666666,0.4791666666666667,18.749999999999996,r2plus1d_18,driveact,0.6378025610109436,0.5596871501403763
1-3s,277,0.6137184115523465,0.3537906137184115,25.992779783393495,r2plus1d_18,driveact,0.6378025610109436,0.5596871501403763
3-6s,123,0.6341463414634146,0.3902439024390244,24.390243902439025,r2plus1d_18,driveact,0.6378025610109436,0.5596871501403763
<1s,331,0.323262839879154,0.175226586102719,14.8036253776435,r2plus1d_18,epic_kitchens,-0.8314466696761263,0.1685533303238737
1-3s,411,0.3309002433090024,0.1776155717761557,15.32846715328467,r2plus1d_18,epic_kitchens,-0.8314466696761263,0.1685533303238737
3-6s,162,0.3518518518518518,0.3333333333333333,1.8518518518518543,r2plus1d_18,epic_kitchens,-0.8314466696761263,0.1685533303238737
>6s,116,0.5344827586206896,0.5,3.4482758620689613,r2plus1d_18,epic_kitchens,-0.8314466696761263,0.1685533303238737
1-3s,142,0.8591549295774648,0.5704225352112676,28.873239436619716,slowfast_r50,ucf101,-0.9785740737298456,0.132021121608148
3-6s,788,0.8604060913705583,0.6205583756345178,23.984771573604057,slowfast_r50,ucf101,-0.9785740737298456,0.132021121608148
>6s,1090,0.8889908256880734,0.8137614678899082,7.522935779816519,slowfast_r50,ucf101,-0.9785740737298456,0.132021121608148
1-3s,304,0.7138157894736842,0.3289473684210526,38.48684210526315,slowfast_r50,hmdb51,-0.8493396145648657,0.3540009476078863
3-6s,471,0.8301486199575372,0.386411889596603,44.37367303609342,slowfast_r50,hmdb51,-0.8493396145648657,0.3540009476078863
>6s,103,0.8737864077669902,0.8543689320388349,1.941747572815533,slowfast_r50,hmdb51,-0.8493396145648657,0.3540009476078863
1-3s,165,0.5454545454545454,0.0545454545454545,49.090909090909086,slowfast_r50,diving48,-0.9993339524326506,0.0232365609428924
3-6s,447,0.5167785234899329,0.1140939597315436,40.26845637583893,slowfast_r50,diving48,-0.9993339524326506,0.0232365609428924
>6s,130,0.4076923076923077,0.1461538461538461,26.15384615384615,slowfast_r50,diving48,-0.9993339524326506,0.0232365609428924
<1s,48,0.7291666666666666,0.4791666666666667,24.999999999999996,slowfast_r50,driveact,0.7347028390458334,0.4746431960516126
1-3s,277,0.6859205776173285,0.335740072202166,35.018050541516246,slowfast_r50,driveact,0.7347028390458334,0.4746431960516126
3-6s,123,0.8130081300813008,0.4715447154471545,34.14634146341463,slowfast_r50,driveact,0.7347028390458334,0.4746431960516126
<1s,331,0.3867069486404834,0.1903323262839879,19.637462235649547,slowfast_r50,epic_kitchens,-0.8331313546079322,0.1668686453920678
1-3s,411,0.364963503649635,0.1386861313868613,22.62773722627737,slowfast_r50,epic_kitchens,-0.8331313546079322,0.1668686453920678
3-6s,162,0.4444444444444444,0.228395061728395,21.604938271604937,slowfast_r50,epic_kitchens,-0.8331313546079322,0.1668686453920678
>6s,116,0.4482758620689655,0.4827586206896552,-3.448275862068967,slowfast_r50,epic_kitchens,-0.8331313546079322,0.1668686453920678
1-3s,142,0.8802816901408451,0.8873239436619719,-0.7042253521126751,timesformer,ucf101,-0.0082950773547055,0.9947191291801972
3-6s,788,0.8934010152284264,0.8845177664974619,0.8883248730964466,timesformer,ucf101,-0.0082950773547055,0.9947191291801972
>6s,1090,0.926605504587156,0.9321100917431192,-0.5504587155963359,timesformer,ucf101,-0.0082950773547055,0.9947191291801972
1-3s,304,0.6907894736842105,0.618421052631579,7.236842105263152,timesformer,hmdb51,-0.9167376332565068,0.2616254242848689
3-6s,471,0.8428874734607219,0.8195329087048833,2.335456475583864,timesformer,hmdb51,-0.9167376332565068,0.2616254242848689
>6s,103,0.9320388349514565,0.9223300970873788,0.9708737864077666,timesformer,hmdb51,-0.9167376332565068,0.2616254242848689
1-3s,165,0.4424242424242424,0.3151515151515151,12.727272727272732,timesformer,diving48,-0.716235383681481,0.4917273885835239
3-6s,447,0.3557046979865771,0.3713646532438479,-1.5659955257270708,timesformer,diving48,-0.716235383681481,0.4917273885835239
>6s,130,0.4,0.3923076923076923,0.769230769230772,timesformer,diving48,-0.716235383681481,0.4917273885835239
<1s,48,0.7083333333333334,0.625,8.333333333333337,timesformer,driveact,0.9123017101053492,0.2686067302496048
1-3s,277,0.6353790613718412,0.5523465703971119,8.303249097472932,timesformer,driveact,0.9123017101053492,0.2686067302496048
3-6s,123,0.7560975609756098,0.6666666666666666,8.943089430894313,timesformer,driveact,0.9123017101053492,0.2686067302496048
<1s,331,0.3051359516616314,0.2356495468277945,6.948640483383686,timesformer,epic_kitchens,-0.6941839715889258,0.3058160284110742
1-3s,411,0.2968369829683698,0.2822384428223844,1.459854014598544,timesformer,epic_kitchens,-0.6941839715889258,0.3058160284110742
3-6s,162,0.3333333333333333,0.3333333333333333,0.0,timesformer,epic_kitchens,-0.6941839715889258,0.3058160284110742
>6s,116,0.4482758620689655,0.4396551724137931,0.8620689655172431,timesformer,epic_kitchens,-0.6941839715889258,0.3058160284110742
1-3s,142,0.9295774647887324,0.823943661971831,10.563380281690138,vivit,ucf101,-0.9998831061715728,0.0097340851892143
3-6s,788,0.9137055837563453,0.8388324873096447,7.487309644670049,vivit,ucf101,-0.9998831061715728,0.0097340851892143
>6s,1090,0.9651376146788992,0.9357798165137616,2.9357798165137616,vivit,ucf101,-0.9998831061715728,0.0097340851892143
1-3s,304,0.7335526315789473,0.4309210526315789,30.26315789473684,vivit,hmdb51,-0.9994526152318498,0.0210649914631742
3-6s,471,0.832271762208068,0.6687898089171974,16.348195329087055,vivit,hmdb51,-0.9994526152318498,0.0210649914631742
>6s,103,0.883495145631068,0.8932038834951457,-0.9708737864077666,vivit,hmdb51,-0.9994526152318498,0.0210649914631742
1-3s,165,0.6060606060606061,0.1454545454545454,46.06060606060606,vivit,diving48,-0.9261558171524464,0.2461856364706522
3-6s,447,0.4988814317673378,0.1543624161073825,34.45190156599553,vivit,diving48,-0.9261558171524464,0.2461856364706522
>6s,130,0.5461538461538461,0.2384615384615384,30.76923076923076,vivit,diving48,-0.9261558171524464,0.2461856364706522
<1s,48,0.7083333333333334,0.6041666666666666,10.416666666666677,vivit,driveact,0.954816342191469,0.1921032808269558
1-3s,277,0.631768953068592,0.4332129963898917,19.855595667870038,vivit,driveact,0.954816342191469,0.1921032808269558
3-6s,123,0.7560975609756098,0.5040650406504065,25.20325203252033,vivit,driveact,0.954816342191469,0.1921032808269558
<1s,331,0.283987915407855,0.1178247734138972,16.61631419939577,vivit,epic_kitchens,-0.9470243221414524,0.0529756778585475
1-3s,411,0.316301703163017,0.1849148418491484,13.138686131386862,vivit,epic_kitchens,-0.9470243221414524,0.0529756778585475
3-6s,162,0.3518518518518518,0.3271604938271605,2.469135802469136,vivit,epic_kitchens,-0.9470243221414524,0.0529756778585475
>6s,116,0.4741379310344827,0.4741379310344827,0.0,vivit,epic_kitchens,-0.9470243221414524,0.0529756778585475
1-3s,142,0.9366197183098592,0.8661971830985915,7.042253521126762,videomae,ucf101,-0.9615693797075768,0.1770657539441989
3-6s,788,0.9403553299492384,0.8794416243654822,6.091370558375631,videomae,ucf101,-0.9615693797075768,0.1770657539441989
>6s,1090,0.9669724770642202,0.9559633027522936,1.1009174311926606,videomae,ucf101,-0.9615693797075768,0.1770657539441989
1-3s,304,0.756578947368421,0.4703947368421052,28.61842105263157,videomae,hmdb51,-0.9991458244753,0.0263147713547129
3-6s,471,0.8789808917197452,0.6942675159235668,18.47133757961784,videomae,hmdb51,-0.9991458244753,0.0263147713547129
>6s,103,0.912621359223301,0.8932038834951457,1.941747572815533,videomae,hmdb51,-0.9991458244753,0.0263147713547129
1-3s,165,0.5151515151515151,0.1212121212121212,39.39393939393939,videomae,diving48,-0.9809321185907284,0.124519926799759
3-6s,447,0.4720357941834452,0.2550335570469799,21.700223713646533,videomae,diving48,-0.9809321185907284,0.124519926799759
>6s,130,0.5,0.4076923076923077,9.230769230769232,videomae,diving48,-0.9809321185907284,0.124519926799759
