class,coverage,stride,accuracy,n_samples
sneezing,10,1,0.280000,50
sniffing,10,1,0.041667,48
snorkeling,10,1,0.660000,50
snowboarding,10,1,0.574468,47
snowkiting,10,1,0.840000,50
snowmobiling,10,1,0.530612,49
somersaulting,10,1,0.160000,50
spinning poi,10,1,0.795918,49
spray painting,10,1,0.734694,49
spraying,10,1,0.340000,50
springboard diving,10,1,0.812500,48
squat,10,1,0.700000,50
sticking tongue out,10,1,0.326531,49
stomping grapes,10,1,0.680000,50
stretching arm,10,1,0.520000,50
stretching leg,10,1,0.520000,50
strumming guitar,10,1,0.640000,50
surfing crowd,10,1,0.833333,48
surfing water,10,1,0.708333,48
sweeping floor,10,1,0.520000,50
swimming backstroke,10,1,0.740000,50
swimming breast stroke,10,1,0.600000,50
swimming butterfly stroke,10,1,0.440000,50
swing dancing,10,1,0.200000,50
swinging legs,10,1,0.260000,50
swinging on something,10,1,0.326531,49
sword fighting,10,1,0.285714,49
tai chi,10,1,0.760000,50
taking a shower,10,1,0.489796,49
tango dancing,10,1,0.600000,50
tap dancing,10,1,0.530612,49
tapping guitar,10,1,0.660000,50
tapping pen,10,1,0.795918,49
tasting beer,10,1,0.560000,50
tasting food,10,1,0.440000,50
testifying,10,1,0.755102,49
texting,10,1,0.367347,49
throwing axe,10,1,0.720000,50
throwing ball,10,1,0.140000,50
throwing discus,10,1,0.680000,50
tickling,10,1,0.480000,50
tobogganing,10,1,0.760000,50
tossing coin,10,1,0.340000,50
tossing salad,10,1,0.640000,50
training dog,10,1,0.500000,50
trapezing,10,1,0.820000,50
trimming or shaving beard,10,1,0.800000,50
trimming trees,10,1,0.693878,49
triple jump,10,1,0.489796,49
tying bow tie,10,1,0.460000,50
tying knot (not on a tie),10,1,0.580000,50
tying tie,10,1,0.780000,50
unboxing,10,1,0.673469,49
unloading truck,10,1,0.540000,50
using computer,10,1,0.795918,49
using remote controller (not gaming),10,1,0.571429,49
using segway,10,1,0.653061,49
vault,10,1,0.640000,50
waiting in line,10,1,0.400000,50
walking the dog,10,1,0.632653,49
washing dishes,10,1,0.680000,50
washing feet,10,1,0.800000,50
washing hair,10,1,0.583333,48
washing hands,10,1,0.540000,50
water skiing,10,1,0.714286,49
water sliding,10,1,0.580000,50
watering plants,10,1,0.820000,50
waxing back,10,1,0.520000,50
waxing chest,10,1,0.660000,50
waxing eyebrows,10,1,0.620000,50
waxing legs,10,1,0.700000,50
weaving basket,10,1,0.840000,50
welding,10,1,0.660000,50
whistling,10,1,0.240000,50
windsurfing,10,1,0.800000,50
wrapping present,10,1,0.714286,49
wrestling,10,1,0.560000,50
writing,10,1,0.660000,50
yawning,10,1,0.306122,49
yoga,10,1,0.551020,49
zumba,10,1,0.711111,45
abseiling,25,1,0.760000,50
air drumming,25,1,0.551020,49
answering questions,25,1,0.300000,50
applauding,25,1,0.260000,50
applying cream,25,1,0.540000,50
archery,25,1,0.780000,50
arm wrestling,25,1,0.795918,49
arranging flowers,25,1,0.940000,50
assembling computer,25,1,0.980000,50
auctioning,25,1,0.700000,50
baby waking up,25,1,0.680000,50
baking cookies,25,1,0.673469,49
balloon blowing,25,1,0.795918,49
bandaging,25,1,0.660000,50
barbequing,25,1,0.740000,50
bartending,25,1,0.920000,50
beatboxing,25,1,0.510204,49
bee keeping,25,1,0.920000,50
belly dancing,25,1,0.836735,49
bench pressing,25,1,0.920000,50
bending back,25,1,0.270833,48
bending metal,25,1,0.500000,50
biking through snow,25,1,0.780000,50
blasting sand,25,1,0.580000,50
blowing glass,25,1,0.880000,50
blowing leaves,25,1,0.673469,49
blowing nose,25,1,0.440000,50
blowing out candles,25,1,0.836735,49
bobsledding,25,1,0.760000,50
bookbinding,25,1,0.860000,50
bouncing on trampoline,25,1,0.800000,50
bowling,25,1,0.918367,49
braiding hair,25,1,0.714286,49
breading or breadcrumbing,25,1,0.612245,49
breakdancing,25,1,0.500000,50
brush painting,25,1,0.687500,48
brushing hair,25,1,0.580000,50
brushing teeth,25,1,0.780000,50
building cabinet,25,1,0.620000,50
building shed,25,1,0.740000,50
bungee jumping,25,1,0.840000,50
busking,25,1,0.700000,50
canoeing or kayaking,25,1,0.860000,50
capoeira,25,1,0.780000,50
carrying baby,25,1,0.854167,48
cartwheeling,25,1,0.380000,50
carving pumpkin,25,1,0.875000,48
catching fish,25,1,0.625000,48
catching or throwing baseball,25,1,0.480000,50
catching or throwing frisbee,25,1,0.480000,50
catching or throwing softball,25,1,0.620000,50
celebrating,25,1,0.540000,50
changing oil,25,1,0.800000,50
changing wheel,25,1,0.560000,50
checking tires,25,1,0.660000,50
cheerleading,25,1,0.857143,49
chopping wood,25,1,0.775510,49
clapping,25,1,0.416667,48
clay pottery making,25,1,0.840000,50
clean and jerk,25,1,0.755102,49
cleaning floor,25,1,0.591837,49
cleaning gutters,25,1,0.720000,50
cleaning pool,25,1,0.700000,50
cleaning shoes,25,1,0.653061,49
cleaning toilet,25,1,0.740000,50
cleaning windows,25,1,0.740000,50
climbing a rope,25,1,0.760000,50
climbing ladder,25,1,0.720000,50
climbing tree,25,1,0.780000,50
contact juggling,25,1,0.740000,50
cooking chicken,25,1,0.640000,50
cooking egg,25,1,0.420000,50
cooking on campfire,25,1,0.708333,48
cooking sausages,25,1,0.580000,50
counting money,25,1,0.693878,49
country line dancing,25,1,0.840000,50
cracking neck,25,1,0.520833,48
crawling baby,25,1,0.860000,50
crossing river,25,1,0.860000,50
crying,25,1,0.346939,49
curling hair,25,1,0.836735,49
cutting nails,25,1,0.595745,47
cutting pineapple,25,1,0.900000,50
cutting watermelon,25,1,0.851064,47
dancing ballet,25,1,0.820000,50
dancing charleston,25,1,0.408163,49
dancing gangnam style,25,1,0.520833,48
dancing macarena,25,1,0.530612,49
deadlifting,25,1,0.795918,49
decorating the christmas tree,25,1,0.897959,49
digging,25,1,0.600000,50
dining,25,1,0.700000,50
disc golfing,25,1,0.720000,50
diving cliff,25,1,0.734694,49
dodgeball,25,1,0.720000,50
doing aerobics,25,1,0.520000,50
doing laundry,25,1,0.720000,50
doing nails,25,1,0.854167,48
drawing,25,1,0.750000,48
dribbling basketball,25,1,0.740000,50
drinking,25,1,0.285714,49
drinking beer,25,1,0.440000,50
drinking shots,25,1,0.265306,49
driving car,25,1,0.645833,48
driving tractor,25,1,0.755102,49
drop kicking,25,1,0.234043,47
drumming fingers,25,1,0.660000,50
dunking basketball,25,1,0.437500,48
dying hair,25,1,0.787234,47
eating burger,25,1,0.653061,49
eating cake,25,1,0.480000,50
eating carrots,25,1,0.708333,48
eating chips,25,1,0.380000,50
eating doughnuts,25,1,0.326531,49
eating hotdog,25,1,0.420000,50
eating ice cream,25,1,0.580000,50
eating spaghetti,25,1,0.816327,49
eating watermelon,25,1,0.800000,50
egg hunting,25,1,0.760000,50
exercising arm,25,1,0.367347,49
exercising with an exercise ball,25,1,0.708333,48
extinguishing fire,25,1,0.795918,49
faceplanting,25,1,0.183673,49
feeding birds,25,1,0.760000,50
feeding fish,25,1,0.897959,49
feeding goats,25,1,0.960000,50
filling eyebrows,25,1,0.938776,49
finger snapping,25,1,0.360000,50
fixing hair,25,1,0.346939,49
flipping pancake,25,1,0.816327,49
flying kite,25,1,0.740000,50
folding clothes,25,1,0.653061,49
folding napkins,25,1,0.734694,49
folding paper,25,1,0.816327,49
front raises,25,1,0.880000,50
frying vegetables,25,1,0.800000,50
garbage collecting,25,1,0.591837,49
gargling,25,1,0.489796,49
getting a haircut,25,1,0.734694,49
getting a tattoo,25,1,0.897959,49
giving or receiving award,25,1,0.760000,50
golf chipping,25,1,0.660000,50
golf driving,25,1,0.740000,50
golf putting,25,1,0.816327,49
grinding meat,25,1,0.960000,50
grooming dog,25,1,0.820000,50
grooming horse,25,1,0.857143,49
gymnastics tumbling,25,1,0.857143,49
hammer throw,25,1,0.780000,50
headbanging,25,1,0.612245,49
headbutting,25,1,0.180000,50
high jump,25,1,0.800000,50
high kick,25,1,0.260000,50
hitting baseball,25,1,0.860000,50
hockey stop,25,1,0.320000,50
holding snake,25,1,0.680000,50
hopscotch,25,1,0.840000,50
hoverboarding,25,1,0.812500,48
hugging,25,1,0.306122,49
hula hooping,25,1,0.959184,49
hurdling,25,1,0.820000,50
hurling (sport),25,1,1.000000,50
ice climbing,25,1,0.840000,50
ice fishing,25,1,0.895833,48
ice skating,25,1,0.820000,50
ironing,25,1,0.791667,48
javelin throw,25,1,0.720000,50
jetskiing,25,1,0.880000,50
jogging,25,1,0.360000,50
juggling balls,25,1,0.775510,49
juggling fire,25,1,0.760000,50
juggling soccer ball,25,1,0.740000,50
jumping into pool,25,1,0.860000,50
jumpstyle dancing,25,1,0.673469,49
kicking field goal,25,1,0.840000,50
kicking soccer ball,25,1,0.520000,50
kissing,25,1,0.543478,46
kitesurfing,25,1,0.780000,50
knitting,25,1,0.960000,50
krumping,25,1,0.673469,49
laughing,25,1,0.500000,48
laying bricks,25,1,0.755102,49
long jump,25,1,0.540000,50
lunge,25,1,0.620000,50
making a cake,25,1,0.387755,49
making a sandwich,25,1,0.560000,50
making bed,25,1,0.860000,50
making jewelry,25,1,0.734694,49
making pizza,25,1,0.820000,50
making snowman,25,1,0.860000,50
making sushi,25,1,0.800000,50
making tea,25,1,0.600000,50
marching,25,1,0.940000,50
massaging back,25,1,0.795918,49
massaging feet,25,1,0.530612,49
massaging legs,25,1,0.653061,49
massaging person's head,25,1,0.620000,50
milking cow,25,1,0.958333,48
mopping floor,25,1,0.560000,50
motorcycling,25,1,0.775510,49
moving furniture,25,1,0.460000,50
mowing lawn,25,1,0.860000,50
news anchoring,25,1,0.640000,50
opening bottle,25,1,0.620000,50
opening present,25,1,0.760000,50
paragliding,25,1,0.880000,50
parasailing,25,1,0.820000,50
parkour,25,1,0.437500,48
passing American football (in game),25,1,0.860000,50
passing American football (not in game),25,1,0.530612,49
peeling apples,25,1,0.820000,50
peeling potatoes,25,1,0.640000,50
petting animal (not cat),25,1,0.551020,49
petting cat,25,1,0.880000,50
picking fruit,25,1,0.795918,49
planting trees,25,1,0.714286,49
plastering,25,1,0.580000,50
playing accordion,25,1,0.877551,49
playing badminton,25,1,0.820000,50
playing bagpipes,25,1,0.840000,50
playing basketball,25,1,0.520000,50
playing bass guitar,25,1,0.820000,50
playing cards,25,1,0.760000,50
playing cello,25,1,0.960000,50
playing chess,25,1,0.860000,50
playing clarinet,25,1,0.780000,50
playing controller,25,1,0.860000,50
playing cricket,25,1,0.816327,49
playing cymbals,25,1,0.840000,50
playing didgeridoo,25,1,0.900000,50
playing drums,25,1,0.877551,49
playing flute,25,1,0.660000,50
playing guitar,25,1,0.700000,50
playing harmonica,25,1,0.591837,49
playing harp,25,1,1.000000,50
playing ice hockey,25,1,0.857143,49
playing keyboard,25,1,0.729167,48
playing kickball,25,1,0.700000,50
playing monopoly,25,1,0.800000,50
playing organ,25,1,0.820000,50
playing paintball,25,1,0.960000,50
playing piano,25,1,0.640000,50
playing poker,25,1,0.775510,49
playing recorder,25,1,0.780000,50
playing saxophone,25,1,0.800000,50
playing squash or racquetball,25,1,1.000000,50
playing tennis,25,1,0.918367,49
playing trombone,25,1,0.836735,49
playing trumpet,25,1,0.836735,49
playing ukulele,25,1,0.920000,50
playing violin,25,1,0.780000,50
playing volleyball,25,1,0.854167,48
playing xylophone,25,1,0.740000,50
pole vault,25,1,0.720000,50
presenting weather forecast,25,1,0.920000,50
pull ups,25,1,0.880000,50
pumping fist,25,1,0.360000,50
pumping gas,25,1,0.812500,48
punching bag,25,1,0.820000,50
punching person (boxing),25,1,0.591837,49
push up,25,1,0.875000,48
pushing car,25,1,0.740000,50
pushing cart,25,1,0.820000,50
pushing wheelchair,25,1,0.620000,50
reading book,25,1,0.780000,50
reading newspaper,25,1,0.660000,50
recording music,25,1,0.280000,50
riding a bike,25,1,0.666667,48
riding camel,25,1,0.920000,50
riding elephant,25,1,0.940000,50
riding mechanical bull,25,1,0.938776,49
riding mountain bike,25,1,0.734694,49
riding mule,25,1,0.800000,50
riding or walking with horse,25,1,0.833333,48
riding scooter,25,1,0.720000,50
riding unicycle,25,1,0.740000,50
ripping paper,25,1,0.540000,50
robot dancing,25,1,0.360000,50
rock climbing,25,1,0.840000,50
rock scissors paper,25,1,0.180000,50
roller skating,25,1,0.820000,50
running on treadmill,25,1,0.791667,48
sailing,25,1,0.877551,49
salsa dancing,25,1,0.632653,49
sanding floor,25,1,0.840000,50
scrambling eggs,25,1,0.660000,50
scuba diving,25,1,0.920000,50
setting table,25,1,0.734694,49
shaking hands,25,1,0.250000,48
shaking head,25,1,0.380000,50
sharpening knives,25,1,0.700000,50
sharpening pencil,25,1,0.840000,50
shaving head,25,1,0.680000,50
shaving legs,25,1,0.540000,50
shearing sheep,25,1,0.979592,49
shining shoes,25,1,0.780000,50
shooting basketball,25,1,0.340000,50
shooting goal (soccer),25,1,0.469388,49
shot put,25,1,0.800000,50
shoveling snow,25,1,0.900000,50
shredding paper,25,1,0.640000,50
shuffling cards,25,1,0.816327,49
side kick,25,1,0.740000,50
sign language interpreting,25,1,0.666667,48
singing,25,1,0.480000,50
situp,25,1,0.660000,50
skateboarding,25,1,0.900000,50
ski jumping,25,1,0.580000,50
skiing (not slalom or crosscountry),25,1,0.530612,49
skiing crosscountry,25,1,0.800000,50
skiing slalom,25,1,0.780000,50
skipping rope,25,1,0.700000,50
skydiving,25,1,0.820000,50
slacklining,25,1,0.775510,49
slapping,25,1,0.102041,49
sled dog racing,25,1,0.900000,50
smoking,25,1,0.469388,49
smoking hookah,25,1,0.673469,49
snatch weight lifting,25,1,0.714286,49
sneezing,25,1,0.320000,50
sniffing,25,1,0.125000,48
snorkeling,25,1,0.760000,50
snowboarding,25,1,0.595745,47
snowkiting,25,1,0.960000,50
snowmobiling,25,1,0.673469,49
somersaulting,25,1,0.300000,50
spinning poi,25,1,0.816327,49
spray painting,25,1,0.775510,49
spraying,25,1,0.460000,50
springboard diving,25,1,0.812500,48
squat,25,1,0.720000,50
sticking tongue out,25,1,0.326531,49
stomping grapes,25,1,0.780000,50
stretching arm,25,1,0.480000,50
stretching leg,25,1,0.460000,50
strumming guitar,25,1,0.660000,50
surfing crowd,25,1,0.916667,48
surfing water,25,1,0.708333,48
sweeping floor,25,1,0.580000,50
swimming backstroke,25,1,0.820000,50
swimming breast stroke,25,1,0.660000,50
swimming butterfly stroke,25,1,0.540000,50
swing dancing,25,1,0.260000,50
swinging legs,25,1,0.420000,50
swinging on something,25,1,0.591837,49
sword fighting,25,1,0.612245,49
tai chi,25,1,0.700000,50
taking a shower,25,1,0.469388,49
tango dancing,25,1,0.720000,50
tap dancing,25,1,0.734694,49
tapping guitar,25,1,0.680000,50
tapping pen,25,1,0.836735,49
tasting beer,25,1,0.620000,50
tasting food,25,1,0.400000,50
testifying,25,1,0.816327,49
texting,25,1,0.551020,49
throwing axe,25,1,0.800000,50
throwing ball,25,1,0.280000,50
throwing discus,25,1,0.740000,50
tickling,25,1,0.540000,50
tobogganing,25,1,0.860000,50
tossing coin,25,1,0.440000,50
tossing salad,25,1,0.740000,50
training dog,25,1,0.600000,50
trapezing,25,1,0.900000,50
trimming or shaving beard,25,1,0.880000,50
trimming trees,25,1,0.755102,49
triple jump,25,1,0.530612,49
tying bow tie,25,1,0.560000,50
tying knot (not on a tie),25,1,0.760000,50
tying tie,25,1,0.860000,50
unboxing,25,1,0.714286,49
unloading truck,25,1,0.680000,50
using computer,25,1,0.816327,49
using remote controller (not gaming),25,1,0.612245,49
using segway,25,1,0.795918,49
vault,25,1,0.660000,50
waiting in line,25,1,0.420000,50
walking the dog,25,1,0.714286,49
washing dishes,25,1,0.780000,50
washing feet,25,1,0.840000,50
washing hair,25,1,0.645833,48
washing hands,25,1,0.680000,50
water skiing,25,1,0.795918,49
water sliding,25,1,0.680000,50
watering plants,25,1,0.840000,50
waxing back,25,1,0.660000,50
waxing chest,25,1,0.780000,50
waxing eyebrows,25,1,0.800000,50
waxing legs,25,1,0.740000,50
weaving basket,25,1,0.880000,50
welding,25,1,0.780000,50
whistling,25,1,0.320000,50
windsurfing,25,1,0.880000,50
wrapping present,25,1,0.734694,49
wrestling,25,1,0.620000,50
writing,25,1,0.700000,50
yawning,25,1,0.346939,49
yoga,25,1,0.530612,49
zumba,25,1,0.800000,45
abseiling,50,1,0.780000,50
air drumming,50,1,0.571429,49
answering questions,50,1,0.320000,50
applauding,50,1,0.260000,50
applying cream,50,1,0.520000,50
archery,50,1,0.820000,50
arm wrestling,50,1,0.877551,49
arranging flowers,50,1,0.920000,50
assembling computer,50,1,1.000000,50
auctioning,50,1,0.820000,50
baby waking up,50,1,0.680000,50
baking cookies,50,1,0.775510,49
balloon blowing,50,1,0.857143,49
bandaging,50,1,0.700000,50
barbequing,50,1,0.740000,50
bartending,50,1,0.960000,50
beatboxing,50,1,0.551020,49
bee keeping,50,1,0.920000,50
