label_id,class_fde_mean,class_fde_std,n_videos,class_name,auc,critical_frame_budget
26,0.05264192468979776,0.024796318808007284,20,Lifting a surface with something on it until it starts sliding down,0.2936507936507936,16
27,0.09120336196001835,0.046355081539185425,20,Lifting something up completely without letting it drop down,0.4774436090225564,8
28,0.07757812499999997,0.04301017117201824,20,"Lifting something up completely, then letting it drop down",0.4210526315789473,16
29,0.07221138748468134,0.037547164269217254,20,Lifting something with something on it,0.361344537815126,16
30,0.07675742953431368,0.05601188777466345,20,Lifting up one end of something without letting it drop down,0.4060150375939849,8
31,0.07332632027420338,0.04283733535220266,20,"Lifting up one end of something, then letting it drop down",0.5,16
32,0.07846688064874384,0.03954993153730164,20,Moving away from something with your camera,0.5827067669172932,16
33,0.08198796290977325,0.033043779716306745,20,Moving part of something,0.0607142857142857,32
34,0.05224512436810658,0.027045120933962986,20,Moving something across a surface until it falls down,0.3157894736842105,16
35,0.06932456820618868,0.03220747393554282,20,Moving something across a surface without it falling down,0.2023809523809523,16
36,0.06697635426240804,0.03260687891707004,20,Moving something and something away from each other,0.7991071428571429,16
37,0.052473096660539176,0.04353613869802066,20,Moving something and something closer to each other,0.5504201680672269,16
38,0.0649992819393382,0.028189721519376338,20,Moving something and something so they collide with each other,0.2857142857142857,16
39,0.07709454704733451,0.04590715650951812,20,Moving something and something so they pass each other,0.5753968253968254,16
40,0.07104400036381738,0.040583901861924544,20,Moving something away from something,0.7293233082706766,16
41,0.10300091911764701,0.054622008233415495,20,Moving something away from the camera,0.425,16
42,0.05185015510110289,0.03359614122362088,20,Moving something closer to something,0.6607142857142857,16
43,0.0720698337928921,0.040813492306039964,20,Moving something down,0.504201680672269,16
44,0.0807222134459252,0.04255116652287086,20,Moving something towards the camera,0.5607142857142857,16
45,0.07132807712928917,0.04145794915282458,20,Moving something up,0.5089285714285714,16
46,0.08793106378293501,0.06171970530549426,20,Opening something,0.2464285714285714,16
47,0.07081168380438109,0.04208918758835352,20,Picking something up,0.1848739495798319,16
48,0.11021922392003672,0.04804097051012654,20,Piling something up,0.3721804511278194,16
49,0.05294809378829651,0.02145340347915223,20,Plugging something into something,0.6954887218045113,16
50,0.056536230947457064,0.03051557108081294,20,Plugging something into something but pulling it right out as you remove your hand,0.5523809523809523,32
51,0.06896000880821075,0.03261593130221263,15,Poking a hole into some substance,0.0,4
52,0.06656474992340682,0.031064910486324385,20,Poking a hole into something soft,0.1386554621848739,16
53,0.08423161525352325,0.03779861703733405,20,Poking a stack of something so the stack collapses,0.3107142857142856,8
54,0.08476329130284922,0.03306378999277646,20,Poking a stack of something without the stack collapsing,0.1392857142857143,8
55,0.046401606541053866,0.02723183028663067,20,Poking something so it slightly moves,0.556390977443609,16
56,0.03656674852558205,0.0244113850200943,20,Poking something so lightly that it doesn't or almost doesn't move,0.2105263157894736,16
57,0.0641404933555453,0.035186086231929876,20,Poking something so that it falls over,0.2214285714285714,16
58,0.06209287368440018,0.0448335829641794,17,Poking something so that it spins around,0.0761904761904761,8
59,0.04814848058363966,0.028510424742849788,20,Pouring something into something,0.5158730158730159,32
60,0.0658064060585171,0.03526875816096541,20,Pouring something into something until it overflows,0.5785714285714285,16
61,0.06916602041207102,0.04109183672944315,20,Pouring something onto something,0.1428571428571428,16
62,0.06372900869332102,0.03370123590952628,20,Pouring something out of something,0.3642857142857142,16
63,0.07388314041436882,0.03180311835046728,20,Pretending or failing to wipe something off of something,0.2368421052631579,8
64,0.07791763604856,0.03944304537511284,20,Pretending or trying and failing to twist something,0.1339285714285714,16
65,0.08447338627833942,0.03536838947585696,20,Pretending to be tearing something that is not tearable,0.4473684210526316,16
66,0.07201091691559433,0.0495080491859969,20,Pretending to close something without actually closing it,0.1607142857142857,32
67,0.06839777927772667,0.030973730032490175,20,Pretending to open something without actually opening it,0.3607142857142857,16
68,0.0646675259459252,0.04276360613781476,20,Pretending to pick something up,0.2857142857142857,16
69,0.0534340054381127,0.03415891673293787,20,Pretending to poke something,0.3909774436090225,16
70,0.0704658897250306,0.030541994458309428,20,"Pretending to pour something out of something, but something is empty",0.4812030075187969,32
71,0.08367609959022666,0.0411222751225843,20,Pretending to put something behind something,0.2218045112781955,16
72,0.061501943550857786,0.030169064196379963,20,Pretending to put something into something,0.1278195488721804,32
73,0.0782124119178921,0.03360381812190171,20,Pretending to put something next to something,0.4841269841269842,16
74,0.06641041475183818,0.05020220698728178,20,Pretending to put something on a surface,0.4248120300751879,32
75,0.10027067296645216,0.05067722629955428,20,Pretending to put something onto something,0.1035714285714285,16
76,0.07826742866200294,0.03930044220655164,18,Pretending to put something underneath something,0.1785714285714285,16
77,0.07619320140165436,0.04235874353820699,20,Pretending to scoop something up with something,0.2182539682539682,16
78,0.06747146905637251,0.04612961103431499,20,Pretending to spread air onto something,0.2678571428571428,16
79,0.07149813782935044,0.03780326483795338,20,Pretending to sprinkle air onto something,0.5785714285714285,16
80,0.05285772585401344,0.0403854270991772,20,Pretending to squeeze something,0.075187969924812,16
81,0.08784301757812496,0.033540186589078126,20,Pretending to take something from somewhere,0.1587301587301587,32
82,0.07428617589613966,0.04076659862749483,20,Pretending to take something out of something,0.1353383458646616,16
83,0.09277142693014702,0.07860148254817184,20,Pretending to throw something,0.3045112781954887,16
84,0.07366790173100486,0.03503088043518043,20,Pretending to turn something upside down,0.3892857142857143,16
85,0.09119391946231613,0.03331583801800559,20,Pulling something from behind of something,0.2857142857142857,32
86,0.05534287396599259,0.03102506852501094,20,Pulling something from left to right,0.7894736842105263,16
87,0.06354210947074138,0.04844612736658164,20,Pulling something from right to left,0.7000000000000001,16
88,0.10367619533164825,0.05195651698916286,20,Pulling something onto something,0.0580357142857142,8
89,0.07285767798330264,0.04277601545852623,20,Pulling something out of something,0.1090225563909774,16
90,0.06723703421798402,0.03829088201636424,20,Pulling two ends of something but nothing happens,0.3849206349206349,32
91,0.07253232469745706,0.04625642821840954,20,Pulling two ends of something so that it gets stretched,0.4722222222222222,16
92,0.07610045189950974,0.04896839112605427,20,Pulling two ends of something so that it separates into two pieces,0.3464285714285714,16
93,0.06546866622625609,0.050098957452127765,20,Pushing something from left to right,0.5676691729323309,16
94,0.05665325089996931,0.039260382412507136,20,Pushing something from right to left,0.5112781954887218,32
95,0.07720700731464455,0.04897973732065665,20,Pushing something off of something,0.4035714285714286,32
96,0.0794106158088235,0.040538337585733955,20,Pushing something onto something,0.0,4
97,0.06887064615885412,0.044744748016067586,20,Pushing something so it spins,0.1729323308270676,16
98,0.056082428576899455,0.05002318772024032,20,Pushing something so that it almost falls off but doesn't,0.2330827067669172,8
99,0.07331122903262863,0.044154571806815826,20,Pushing something so that it falls off the table,0.2142857142857142,32
100,0.03717291140088844,0.020942220332458458,20,Pushing something so that it slightly moves,0.2357142857142857,16
101,0.05199273801317398,0.03472532561388022,20,Pushing something with something,0.2631578947368421,16
102,0.0687278597962622,0.045631265815798606,20,Putting number of something onto something,0.0488721804511278,8
103,0.0890578445733762,0.054982395515949536,20,Putting something and something on the table,0.556390977443609,16
104,0.05969119801240804,0.03844249456746261,20,Putting something behind something,0.4857142857142857,16
105,0.07714312385110288,0.051912327530995866,20,Putting something in front of something,0.5964285714285714,16
106,0.08434873094745707,0.044262634282502454,20,Putting something into something,0.2535714285714285,16
107,0.05982401529947913,0.03516849180429396,20,Putting something next to something,0.5263157894736842,16
108,0.07524442784926468,0.03246182886644307,20,Putting something on a flat surface without letting it roll,0.4172932330827067,8
109,0.07036145976945463,0.05934903020392785,20,Putting something on a surface,0.1535714285714285,8
110,0.06826296338848035,0.035085673179362634,20,Putting something on the edge of something so it is not supported and falls down,0.15,32
111,0.05315111613221673,0.02924983302157209,18,Putting something onto a slanted surface but it doesn't glide down,0.1071428571428571,8
112,0.06215671913296563,0.03091915162878062,20,Putting something onto something,0.1928571428571428,32
113,0.06989095052083329,0.040413887329271335,20,Putting something onto something else that cannot support it so it falls down,0.2030075187969924,32
114,0.059855167164522015,0.030317597801299365,20,Putting something similar to other things that are already on the table,0.369047619047619,16
115,0.06735221114813109,0.04911344126753873,20,"Putting something that can't roll onto a slanted surface, so it slides down",0.3109243697478992,8
116,0.06162474389169727,0.030686128538634914,20,"Putting something that can't roll onto a slanted surface, so it stays where it is",0.556390977443609,8
117,0.06294047037760411,0.04807813982034114,20,"Putting something that cannot actually stand upright upright on the table, so it falls on its side",0.4920634920634921,32
118,0.08730860093060658,0.03823692482850071,20,Putting something underneath something,0.1865079365079364,16
119,0.08363804237515315,0.04131395860041765,20,Putting something upright on the table,0.6541353383458647,16
120,0.06747782389322912,0.05065507199651864,20,"Putting something, something and something on the table",0.7658730158730158,16
121,0.07028958189721198,0.04189719128751519,20,"Removing something, revealing something behind",0.819548872180451,16
122,0.06468495088465069,0.04160626099721964,20,Rolling something on a flat surface,0.2969924812030075,32
123,0.07521811092601097,0.04718424377513516,20,Scooping something up with something,0.4117647058823529,16
124,0.0566627771714154,0.041413758767660264,20,Showing a photo of something to the camera,0.5392857142857143,8
125,0.04277455049402569,0.038562049764489965,20,Showing something behind something,0.7107142857142856,8
126,0.04599878647748158,0.04164337375484777,20,Showing something next to something,0.4325396825396825,4
127,0.04670879289215683,0.0366141862211971,20,Showing something on top of something,0.2301587301587301,4
128,0.0744343596813725,0.04675974597782972,20,Showing something to the camera,0.0821428571428571,16
129,0.07948116526884189,0.0514883100507136,20,Showing that something is empty,0.3157894736842105,32
130,0.0934443335439644,0.06541183248899735,20,Showing that something is inside something,0.2518796992481203,32
131,0.0643861658432904,0.045078774786898215,20,Something being deflected from something,0.2035714285714285,16
132,0.06992700913373157,0.04370704265615017,20,Something colliding with something and both are being deflected,0.244360902255639,8
133,0.06913898542815558,0.03161875795802825,20,Something colliding with something and both come to a halt,0.1050420168067226,4
134,0.06460251752068011,0.04449219052619472,20,Something falling like a feather or paper,0.5142857142857143,16
135,0.0695054835899203,0.039551570536860106,20,Something falling like a rock,0.5714285714285714,16
136,0.07364427331134657,0.049372058540003365,17,Spilling something behind something,0.1554621848739496,16
137,0.02720719879748771,0.030159008126327227,20,Spilling something next to something,0.3285714285714285,16
138,0.058862077301623725,0.04176466817000664,20,Spilling something onto something,0.244360902255639,16
139,0.07589343501072299,0.04432833558599893,20,Spinning something so it continues spinning,0.2946428571428571,16
140,0.09895911123238352,0.049665958107618986,20,Spinning something that quickly stops spinning,0.5451127819548872,8
141,0.0620891137216605,0.027999375489834596,20,Spreading something onto something,0.3233082706766917,16
142,0.07512694115732226,0.035904608332325845,20,Sprinkling something onto something,0.2357142857142857,16
143,0.04630707385493256,0.030793302457491154,20,Squeezing something,0.4841269841269842,16
144,0.094925417432598,0.03864399073677832,20,Stacking number of something,0.0902255639097744,32
145,0.08104350968903182,0.05857696857120504,20,Stuffing something into something,0.25,16
146,0.06430077646292888,0.043111716493323834,20,Taking one of many similar things on the table,0.5902255639097744,16
147,0.09107280656403181,0.0392589879083017,20,Taking something from somewhere,0.0,4
148,0.08571344113817397,0.053439655616904086,20,Taking something out of something,0.2030075187969924,32
149,0.10021982230392153,0.05517440025872879,20,Tearing something into two pieces,0.7103174603174603,16
150,0.07408279718137249,0.04577126520754524,20,Tearing something just a little bit,0.4661654135338345,16
151,0.08252263087852324,0.047609080458975876,20,Throwing something,0.4135338345864661,32
152,0.06673088522518379,0.06722001036547298,20,Throwing something against something,0.3678571428571429,32
153,0.08781589882046564,0.0664486048525413,20,Throwing something in the air and catching it,0.5428571428571428,32
154,0.0830446131089154,0.06262608827086143,20,Throwing something in the air and letting it fall,0.4285714285714285,16
155,0.07912422928155632,0.0629619028137614,20,Throwing something onto a surface,0.1714285714285714,16
156,0.05419902726715682,0.03316359831105459,20,Tilting something with something on it slightly so it doesn't fall down,0.4285714285714285,16
157,0.06572739545036761,0.034692592827929435,20,Tilting something with something on it until it falls off,0.3071428571428571,16
158,0.06555728687959556,0.03341873422282308,20,Tipping something over,0.3834586466165413,8
159,0.06866161870021442,0.04144027576416809,20,"Tipping something with something in it over, so something in it falls out",0.1804511278195488,32
160,0.06982208850337006,0.028084475704990813,20,Touching (without moving) part of something,0.3609022556390977,16
161,0.08160012637867642,0.0391373606233755,20,Trying but failing to attach something to something because it doesn't stick,0.2605042016806723,16
162,0.07610361136642155,0.04125043921693824,20,Trying to bend something unbendable so nothing happens,0.1764705882352941,16
163,0.0682362156288296,0.03972054068409645,20,"Trying to pour something into something, but missing so it spills next to it",0.3071428571428572,16
164,0.072924685010723,0.042943839193933686,20,Turning something upside down,0.5714285714285714,16
165,0.08092108034620094,0.05036696219664179,20,Turning the camera downwards while filming something,0.5300751879699248,16
166,0.08845305798100486,0.06500414494884162,20,Turning the camera left while filming something,0.85,16
167,0.10111448998544725,0.06069332969269323,20,Turning the camera right while filming something,0.725,16
168,0.09943816540287986,0.07360922684486229,20,Turning the camera upwards while filming something,0.6107142857142858,16
169,0.10334694058287372,0.04971607053943171,20,Twisting (wringing) something wet until water comes out,0.4880952380952381,32
170,0.08326341816023279,0.056726079340087665,20,Twisting something,0.361344537815126,16
171,0.08237786984911147,0.04062344339261839,20,Uncovering something,0.5798319327731092,16
172,0.07884549010033697,0.039324034691509864,20,Unfolding something,0.1547619047619047,8
173,0.06554721009497545,0.042809386237536586,20,Wiping something off of something,0.3678571428571429,32
